Date,Open,High,Low,Close,Volume,Adj Close
2006-01-02,27.2,27.67,27.05,27.45,763600,18.46884
2006-01-03,27.5,27.67,27.45,27.59,1192000,18.56303
2006-01-04,27.8,27.8,27.44,27.59,1309400,18.56303
2006-01-05,27.67,27.67,27.44,27.5,1432000,18.50248
2006-01-09,27.5,27.57,27.38,27.56,7577100,18.54285
2006-01-10,27.55,27.59,27.36,27.48,8125300,18.48902
2006-01-11,27.48,27.93,27.48,27.93,1174100,18.79179
2006-01-12,27.77,28.04,27.77,28.01,1904500,18.84562
2006-01-13,28.05,28.09,27.75,27.8,3730500,18.70432
2006-01-16,27.6,27.6,27.44,27.56,1656000,18.54285
2006-01-17,27.3,27.45,27.15,27.2,2729200,18.30063
2006-01-18,27.01,27.01,26.62,26.96,3174500,18.13916
2006-01-19,27.0,27.3,26.98,27.27,3615300,18.34773
2006-01-20,27.2,27.48,27.15,27.38,2369300,18.42174
2006-01-23,26.91,27.07,26.75,27.0,5263000,18.16607
2006-01-24,26.9,27.25,26.9,27.25,3830200,18.33427
2006-01-25,27.3,27.43,27.15,27.43,1059100,18.45538
2006-01-26,27.4,28.04,27.4,28.03,2450000,18.85907
2006-01-27,28.1,28.4,28.05,28.33,749400,19.06092
2006-01-30,28.17,28.44,28.06,28.3,1007800,19.04073
2006-01-31,28.3,28.68,28.15,28.65,1518100,19.27622
2006-02-01,28.7,29.18,28.48,29.15,1128200,19.61263
2006-02-02,29.15,29.15,28.85,29.0,1107900,19.5117
2006-02-03,28.93,29.23,28.82,29.14,1022700,19.6059
2006-02-06,29.2,29.23,28.89,29.08,1531700,19.56553
2006-02-07,29.2,29.24,28.92,29.06,975300,19.55207
2006-02-08,28.85,29.0,28.73,28.9,2407500,19.44442
2006-02-09,28.84,29.2,28.84,29.2,994600,19.64627
2006-02-10,29.2,29.2,28.88,29.04,959300,19.53862
2006-02-13,29.04,29.1,28.91,29.1,638800,19.57899
2006-02-14,29.05,29.15,28.94,29.15,548700,19.61263
2006-02-15,29.15,29.7,28.98,29.5,1912500,19.84811
2006-02-16,29.67,29.94,29.67,29.94,2225600,20.14415
2006-02-17,29.98,30.15,29.8,30.09,852400,20.24508
2006-02-20,30.0,30.25,29.96,30.09,1818300,20.24508
2006-02-21,30.26,30.34,30.0,30.3,5915100,20.38637
2006-02-22,30.3,31.34,30.25,31.16,1014100,20.96499
2006-02-23,31.31,31.5,30.94,31.31,840900,21.06591
2006-02-24,31.4,31.4,31.13,31.35,809800,21.09283
2006-02-27,31.49,31.49,31.01,31.45,1333900,21.16011
2006-02-28,31.43,31.45,31.0,31.3,3013800,21.05918
2006-03-01,31.2,31.6,31.15,31.47,1557200,21.17356
2006-03-02,31.36,31.5,31.07,31.26,2024600,21.03227
2006-03-03,31.13,31.26,30.95,31.21,1123300,20.99863
2006-03-06,31.25,31.47,31.01,31.2,641800,20.9919
2006-03-07,31.1,31.1,29.89,30.73,1945600,20.67568
2006-03-08,30.73,30.79,29.85,30.11,2186700,20.25853
2006-03-09,30.4,30.69,30.1,30.37,1810800,20.43347
2006-03-10,30.28,30.68,30.05,30.68,1575800,20.64204
2006-03-13,30.69,31.0,30.69,30.85,1187400,20.75642
2006-03-14,30.77,31.09,30.57,31.0,787300,20.85734
2006-03-15,31.0,31.09,30.78,31.05,1957000,20.89098
2006-03-16,31.16,31.39,30.95,31.39,719300,21.11974
2006-03-17,31.39,31.77,31.12,31.67,1115900,21.30813
2006-03-20,31.75,32.4,31.67,32.25,850000,21.69836
2006-03-21,32.35,32.35,31.95,32.03,1649100,21.55034
2006-03-22,31.98,32.34,31.8,32.29,905100,21.72527
2006-03-23,32.03,32.35,31.7,31.95,1067100,21.49652
2006-03-24,31.92,32.26,31.9,32.17,590100,21.64453
2006-03-27,31.83,32.32,31.83,32.17,506100,21.64453
2006-03-28,32.2,32.34,31.53,32.0,1647000,21.53016
2006-03-29,31.97,32.15,31.89,32.05,705900,21.5638
2006-03-30,32.1,32.17,31.9,32.1,572100,21.59744
2006-03-31,32.1,32.19,31.87,32.06,1256000,21.57053
2006-04-03,32.12,32.68,32.11,32.4,1204100,21.79929
2006-04-04,32.38,32.4,31.97,32.2,1252300,21.66472
2006-04-05,32.25,32.42,32.06,32.35,737100,21.76564
2006-04-06,32.48,32.48,32.04,32.3,1022500,21.732
2006-04-07,32.16,32.22,31.8,31.95,1391200,21.49652
2006-04-10,32.04,32.2,31.9,32.16,737500,21.63781
2006-04-11,32.1,32.15,31.66,31.8,1056400,21.39559
2006-04-12,31.57,31.69,31.11,31.25,1680600,21.02554
2006-04-13,31.23,31.93,31.23,31.65,822000,21.29467
2006-04-18,31.51,31.79,31.3,31.45,942200,21.16011
2006-04-19,31.59,31.75,31.4,31.69,1603300,21.32158
2006-04-20,31.6,31.9,31.46,31.9,825000,21.46288
2006-04-21,32.1,32.37,31.89,32.37,492700,21.7791
2006-04-24,32.25,33.8,32.25,33.5,2487500,22.53938
2006-04-25,33.72,33.72,33.05,33.32,1067700,22.41828
2006-04-26,33.59,33.66,33.01,33.14,740300,22.29717
2006-04-27,33.14,33.3,32.87,32.95,808800,22.16933
2006-04-28,32.87,33.0,32.4,32.91,780900,22.14242
2006-05-02,32.8,33.35,32.8,33.2,482400,22.33754
2006-05-03,33.53,33.76,33.36,33.76,970000,22.71431
2006-05-04,33.84,33.84,33.01,33.75,879000,22.70759
2006-05-05,33.94,33.98,33.61,33.89,668800,22.80178
2006-05-08,33.98,34.71,33.9,34.45,690000,23.17856
2006-05-09,34.45,34.64,34.43,34.57,449200,23.2593
2006-05-10,34.65,34.94,34.51,34.88,927900,23.46787
2006-05-11,34.79,34.95,34.7,34.9,468700,23.48133
2006-05-12,34.64,34.84,34.05,34.27,1007200,23.05745
2006-05-15,34.0,34.12,33.05,33.3,1368800,22.40482
2006-05-16,33.17,33.33,33.0,33.0,1404700,22.20297
2006-05-17,33.0,33.55,32.0,32.0,1306500,21.53016
2006-05-18,31.95,32.82,31.1,32.0,1516200,21.53016
2006-05-19,31.98,32.26,31.9,32.08,1467300,21.58398
2006-05-22,32.23,32.23,29.73,29.98,3471700,20.17107
2006-05-23,30.0,31.44,29.95,30.7,2188600,20.65549
2006-05-24,30.26,31.0,29.8,30.57,1553100,20.56803
2006-05-25,30.6,30.9,30.15,30.35,1003600,20.42001
2006-05-26,30.63,31.49,30.41,31.32,1282300,21.07264
2006-05-29,31.3,31.8,31.3,31.5,349100,21.19375
2006-05-30,31.36,31.73,30.86,31.0,1540500,20.85734
2006-05-31,30.42,31.3,30.35,31.11,1839400,20.93135
2006-06-01,31.13,31.35,30.75,31.1,990800,20.92462
2006-06-02,31.5,31.68,30.9,30.99,780400,20.85061
2006-06-05,31.46,31.55,30.9,31.33,1950300,21.07937
2006-06-06,31.72,31.72,30.6,30.75,1521500,20.68914
2006-06-07,30.77,31.05,30.22,30.45,1499500,20.48729
2006-06-08,29.81,30.41,29.2,29.54,2152400,19.87503
2006-06-09,29.77,29.97,29.5,29.9,1305400,20.11724
2006-06-12,29.75,30.0,29.71,29.8,681900,20.04996
2006-06-13,29.25,29.39,28.1,28.75,2212600,19.3435
2006-06-14,28.67,28.98,28.3,28.7,2422900,19.30986
2006-06-15,28.88,30.3,28.79,30.1,2283500,20.2518
2006-06-16,30.46,31.38,29.75,30.17,1819600,20.2989
2006-06-19,30.85,31.0,30.46,30.66,927100,20.62858
2006-06-20,30.41,31.1,30.0,30.9,1785800,20.79006
2006-06-21,30.96,31.38,30.77,31.09,1689600,20.91789
2006-06-22,31.29,31.46,31.16,31.4,1997000,21.12647
2006-06-23,31.43,31.77,31.1,31.57,1551500,21.24085
2006-06-26,31.69,31.8,31.5,31.74,1407000,21.35522
2006-06-27,31.74,31.9,31.63,31.75,4385300,21.36195
2006-06-28,31.69,31.69,31.26,31.41,2471600,21.13319
2006-06-29,31.45,32.04,31.45,32.0,1183400,21.53016
2006-06-30,32.24,32.74,32.21,32.61,2749200,21.94058
2006-07-03,32.48,33.07,32.24,32.58,2048500,21.92039
2006-07-04,32.58,32.95,32.38,32.91,1059700,22.14242
2006-07-05,32.85,33.17,32.4,32.97,1195200,22.18279
2006-07-06,32.88,33.37,32.88,33.22,1645000,22.351
2006-07-07,33.24,33.35,32.95,33.28,700600,22.39136
2006-07-10,33.26,33.49,33.0,33.3,1047400,22.40482
2006-07-11,33.24,33.4,32.95,33.15,534900,22.3039
2006-07-12,33.16,33.42,33.1,33.29,865900,22.39809
2006-07-13,33.17,33.18,32.73,32.89,908000,22.12896
2006-07-14,32.67,32.69,32.2,32.39,1190500,21.79256
2006-07-17,32.06,32.3,31.85,31.95,987500,21.49652
2006-07-18,31.88,32.1,31.6,31.81,841900,21.40232
2006-07-19,31.81,32.87,31.77,32.84,883900,22.09532
2006-07-20,33.06,33.6,33.06,33.42,1149300,22.48556
2006-07-21,33.34,33.34,32.75,32.9,1182000,22.13569
2006-07-24,32.87,33.77,32.87,33.77,756600,22.72104
2006-07-25,33.8,34.2,33.72,33.98,793900,22.86234
2006-07-26,34.17,34.21,33.65,34.19,562300,23.00363
2006-07-27,34.2,34.2,33.9,34.01,1049400,22.88252
2006-07-28,33.96,34.2,33.9,34.18,1163700,22.9969
2006-07-31,34.06,34.27,34.01,34.27,762200,23.05745
2006-08-01,34.19,34.22,33.79,33.98,1911300,22.86234
2006-08-02,34.12,34.6,33.91,34.53,2333800,23.23238
2006-08-03,34.53,34.8,34.3,34.55,1618900,23.24584
2006-08-04,34.55,34.75,34.45,34.67,1015200,23.32658
2006-08-07,34.4,34.46,34.15,34.3,1452200,23.07764
2006-08-08,34.51,34.65,34.33,34.54,657200,23.23911
2006-08-09,34.64,34.75,34.26,34.5,401600,23.2122
2006-08-10,33.95,34.25,33.25,33.99,1132300,22.86906
2006-08-11,34.02,34.5,33.84,34.1,339800,22.94307
2006-08-14,34.39,34.5,34.11,34.46,402300,23.18529
2006-08-15,34.3,34.68,34.3,34.57,478500,23.2593
2006-08-16,34.5,34.65,34.32,34.49,525100,23.20547
2006-08-17,34.5,34.74,34.36,34.62,742900,23.29294
2006-08-18,34.7,34.74,34.4,34.63,387100,23.29967
2006-08-21,34.53,34.76,34.41,34.66,299800,23.31985
2006-08-22,34.7,34.88,34.61,34.78,599000,23.40059
2006-08-23,34.87,34.87,34.62,34.71,381000,23.35349
