Date,Open,High,Low,Close,Volume,Adj Close
2006-01-02,12.24,12.3,12.18,12.2,1295500,9.565
2006-01-03,12.23,12.4,12.23,12.34,3674500,9.6747
2006-01-04,12.33,12.4,12.21,12.34,1989200,9.6747
2006-01-05,12.3,12.38,12.17,12.25,1317300,9.6042
2006-01-06,12.25,12.25,12.25,12.25,0,9.6042
2006-01-09,12.29,12.45,12.22,12.4,2474400,9.7218
2006-01-10,12.4,12.46,12.32,12.46,2312000,9.7688
2006-01-11,12.46,12.46,12.3,12.36,1702700,9.6904
2006-01-12,12.39,12.39,12.15,12.18,2526100,9.5493
2006-01-13,12.17,12.18,11.9,11.99,4979000,9.4003
2006-01-16,12.01,12.15,12.0,12.12,1867700,9.5023
2006-01-17,12.0,12.06,11.8,11.91,4688600,9.3376
2006-01-18,11.76,12.1,11.73,12.03,5987300,9.4317
2006-01-19,12.23,12.52,12.2,12.4,6162700,9.7218
2006-01-20,12.47,12.51,12.25,12.3,3621900,9.6434
2006-01-23,12.14,12.3,12.1,12.29,1886600,9.6355
2006-01-24,12.4,12.48,12.34,12.41,2344600,9.7296
2006-01-25,12.53,12.85,12.46,12.85,4614400,10.0746
2006-01-26,12.84,13.0,12.76,12.87,3537000,10.0903
2006-01-27,12.94,13.58,12.93,13.27,10828900,10.4039
2006-01-30,13.38,13.5,13.0,13.38,3335500,10.4901
2006-01-31,13.39,13.42,13.11,13.22,2151400,10.3647
2006-02-01,13.28,13.37,13.21,13.32,1606300,10.4431
2006-02-02,13.36,13.4,13.16,13.21,2099100,10.3568
2006-02-03,13.12,13.17,12.97,13.13,2092800,10.2941
2006-02-06,13.12,13.19,13.02,13.16,1116000,10.3176
2006-02-07,13.27,13.27,12.91,13.1,1492800,10.2706
2006-02-08,12.97,12.97,12.82,12.83,1819200,10.0589
2006-02-09,12.94,13.06,12.84,13.01,1296300,10.2
2006-02-10,12.96,13.0,12.71,12.81,1495800,10.0432
2006-02-13,12.74,12.83,12.69,12.82,1055800,10.0511
2006-02-14,12.8,12.84,12.72,12.74,820000,9.9884
2006-02-15,12.8,12.84,12.7,12.83,879300,10.0589
2006-02-16,12.85,12.95,12.79,12.95,843900,10.153
2006-02-17,12.98,13.08,12.85,13.05,2073100,10.2314
2006-02-20,13.06,13.09,12.97,12.98,1139000,10.1765
2006-02-21,13.0,13.08,12.85,12.92,1297900,10.1295
2006-02-22,12.93,13.0,12.88,12.97,1408800,10.1687
