Date,Open,High,Low,Close,Volume,Adj Close
2006-01-02,95.35,95.65,93.85,95.0,33600,72.471
2006-01-03,95.7,96.15,95.15,95.9,237200,73.157
2006-01-04,96.35,96.35,95.25,96.0,90000,73.234
2006-01-05,96.2,96.3,95.15,95.7,113200,73.005
2006-01-06,95.7,95.7,95.7,95.7,0,73.005
2006-01-09,95.55,96.25,95.55,96.0,887800,73.234
2006-01-10,95.85,96.05,95.35,95.8,1404300,73.081
2006-01-11,95.9,96.7,95.9,96.4,1521600,73.539
2006-01-12,96.2,96.75,96.0,96.45,278000,73.577
2006-01-13,96.9,97.0,96.05,96.4,82800,73.539
2006-01-16,95.95,96.3,95.0,96.3,102300,73.462
2006-01-17,95.3,95.9,94.65,94.65,526600,72.204
2006-01-18,94.5,95.5,93.4,95.25,1500500,72.661
2006-01-19,95.1,97.25,95.05,96.8,213500,73.844
2006-01-20,96.65,97.6,96.5,97.3,237600,74.225
2006-01-23,96.1,96.1,94.7,95.1,827000,72.547
2006-01-24,94.75,95.55,94.75,95.15,113500,72.585
2006-01-25,95.2,100.8,94.75,99.8,524300,76.132
2006-01-26,99.25,104.45,99.05,102.65,540600,78.306
2006-01-27,103.6,104.4,102.4,104.0,306800,79.336
2006-01-30,103.0,104.35,102.75,103.0,150700,78.573
2006-01-31,102.45,104.4,102.35,102.8,297700,78.421
2006-02-01,101.95,108.25,101.8,108.1,319300,82.464
2006-02-02,107.8,107.85,106.05,106.5,241100,81.243
2006-02-03,107.5,109.2,107.0,108.5,270800,82.769
2006-02-06,108.5,108.85,105.6,107.7,239700,82.159
2006-02-07,107.7,108.85,104.5,106.05,376300,80.9
2006-02-08,105.85,107.75,104.55,107.75,180800,82.197
2006-02-09,107.95,115.85,107.8,113.9,393700,86.889
2006-02-10,114.3,114.3,111.0,111.95,213000,85.401
2006-02-13,111.5,117.0,111.45,117.0,269600,89.253
2006-02-14,116.8,120.0,114.0,114.15,276300,87.079
2006-02-15,114.15,115.0,113.1,114.45,162000,87.308
2006-02-16,115.0,115.0,112.25,113.4,213500,86.507
2006-02-17,114.0,114.45,112.6,113.75,112000,86.774
2006-02-20,114.45,114.45,112.5,113.9,77700,86.889
2006-02-21,115.0,117.5,114.45,115.0,1403500,87.728
2006-02-22,115.55,116.45,114.1,114.65,274300,87.461
2006-02-23,114.8,116.0,114.35,115.55,267900,88.147
2006-02-24,116.5,117.55,115.7,117.55,143600,89.673
2006-02-27,117.0,117.7,116.45,116.7,142500,89.024
2006-02-28,117.0,118.2,115.65,117.0,250000,89.253
2006-03-01,117.85,118.45,116.5,116.5,230500,88.872
2006-03-02,116.75,116.9,113.45,114.0,289800,86.965
2006-03-03,112.9,116.0,112.9,114.5,185300,87.346
2006-03-06,113.2,116.1,113.2,114.6,131100,87.423
2006-03-07,113.6,114.15,112.7,113.0,145200,86.202
2006-03-08,113.4,113.5,111.7,111.9,254600,85.363
2006-03-09,112.0,113.5,111.8,112.4,189200,85.744
2006-03-10,111.8,114.4,111.4,114.35,154600,87.232
2006-03-13,115.0,115.2,113.05,115.0,120000,87.728
2006-03-14,114.7,116.7,114.6,116.65,81800,88.986
2006-03-15,117.1,117.75,116.25,116.5,184900,88.872
2006-03-16,116.6,120.0,116.6,120.0,239500,91.542
2006-03-17,119.9,123.9,119.4,122.55,320500,93.487
2006-03-20,122.6,123.0,120.8,122.7,260100,93.602
2006-03-21,121.4,131.6,121.4,129.8,440700,99.018
2006-03-22,128.9,132.5,126.25,127.95,269300,97.607
2006-03-23,127.6,128.15,125.7,126.0,268900,96.119
2006-03-24,126.0,126.9,125.85,126.25,233600,96.31
2006-03-27,127.55,127.95,125.8,125.85,111500,96.005
2006-03-28,125.9,127.8,125.8,126.15,116500,96.233
2006-03-29,126.8,128.65,125.8,128.35,121400,97.912
2006-03-30,128.6,128.9,126.9,128.65,66000,98.141
2006-03-31,128.9,128.95,127.0,128.55,95000,98.064
2006-04-03,129.0,134.25,129.0,132.1,175800,100.772
2006-04-04,131.1,131.35,130.0,130.65,187700,99.666
2006-04-05,130.3,132.65,129.2,130.25,150700,99.361
2006-04-06,130.45,132.35,130.4,131.6,268800,100.391
2006-04-07,131.9,132.0,129.05,129.4,122400,98.713
2006-04-10,129.4,129.4,127.0,127.7,188300,97.416
2006-04-11,127.05,127.6,124.85,124.85,128400,95.242
2006-04-12,124.0,127.0,123.65,126.05,141200,96.157
2006-04-13,126.0,126.6,124.8,125.85,42400,96.005
2006-04-14,125.85,125.85,125.85,125.85,0,96.005
2006-04-17,125.85,125.85,125.85,125.85,0,96.005
2006-04-18,127.0,127.6,126.0,126.6,104200,96.577
2006-04-19,127.05,130.55,127.05,130.55,169600,99.59
2006-04-20,130.35,130.95,129.1,129.8,132500,99.018
2006-04-21,129.75,137.0,129.75,135.7,181400,103.519
2006-04-24,135.55,139.4,133.5,138.0,418500,105.273
2006-04-25,137.95,139.85,136.4,138.3,237200,105.502
2006-04-26,137.95,140.0,136.0,140.0,202100,106.799
2006-04-27,139.65,139.65,134.6,135.5,269400,103.366
2006-04-28,134.65,136.9,134.6,136.35,183900,104.014
2006-05-02,135.1,138.5,135.1,138.0,695700,105.273
2006-05-03,138.0,142.75,137.8,140.75,211000,107.371
2006-05-04,140.8,146.2,140.8,144.65,259000,110.346
2006-05-05,145.6,145.95,143.85,145.95,187400,111.338
2006-05-08,146.0,148.6,143.1,146.75,154500,111.948
2006-05-09,146.7,146.7,142.25,145.05,207400,110.651
2006-05-10,145.5,148.8,145.1,147.5,285500,112.52
2006-05-11,148.0,149.75,144.1,144.7,219500,110.384
2006-05-12,143.35,144.35,140.9,140.9,313500,107.485
2006-05-15,140.45,140.45,136.55,136.7,176800,104.281
2006-05-16,136.55,137.4,134.55,135.0,167600,102.985
2006-05-17,135.0,136.8,129.65,129.65,184700,98.903
2006-05-18,127.9,130.95,123.2,127.5,290900,97.263
2006-05-19,126.4,132.15,125.4,127.8,210500,97.492
2006-05-22,127.3,128.65,117.65,120.45,380600,91.885
2006-05-23,121.8,127.6,121.8,127.05,446200,96.92
2006-05-24,125.2,126.1,122.05,124.1,230400,94.67
2006-05-25,125.3,128.9,123.9,126.0,379900,96.119
2006-05-26,126.0,130.0,125.9,128.3,190500,97.874
2006-05-29,128.0,129.0,126.5,127.75,115200,97.454
2006-05-30,126.95,129.0,124.25,125.1,1158200,95.432
2006-05-31,124.0,127.9,123.0,126.0,333900,96.119
2006-06-01,124.0,124.7,123.3,124.0,216600,94.593
2006-06-02,125.35,127.95,124.5,125.35,799100,95.623
2006-06-05,125.6,127.9,124.2,125.1,135300,95.432
2006-06-06,122.65,124.55,119.1,119.45,861900,91.122
2006-06-07,120.5,120.8,116.6,117.05,577200,89.291
2006-06-08,112.8,113.85,111.55,112.2,322700,85.592
2006-06-09,115.55,116.4,114.0,114.95,128000,87.69
2006-06-12,113.8,115.0,112.75,113.0,150300,86.202
2006-06-13,110.1,111.4,105.6,108.0,384800,82.388
2006-06-14,108.5,111.4,108.45,110.95,488900,84.638
2006-06-15,110.95,110.95,110.95,110.95,0,84.638
2006-06-16,110.95,110.95,110.95,110.95,0,84.638
2006-06-19,117.15,119.75,115.0,118.5,167400,90.398
2006-06-20,117.45,119.5,117.0,119.15,91700,90.893
2006-06-21,119.9,119.9,117.45,118.7,118700,90.55
2006-06-22,120.6,121.0,119.0,120.25,117000,91.733
2006-06-23,120.9,121.2,119.25,119.35,144200,91.046
2006-06-26,120.0,121.05,119.05,119.6,181900,91.237
2006-06-27,120.0,120.4,118.7,118.7,96600,90.55
2006-06-28,118.55,119.8,117.1,117.25,243000,89.444
2006-06-29,118.55,119.85,117.8,119.25,117000,90.97
2006-06-30,120.3,123.3,119.85,121.45,175100,92.648
2006-07-03,122.2,123.5,121.85,122.5,106300,93.449
2006-07-04,123.85,123.85,122.25,123.3,88400,94.059
2006-07-05,123.0,124.1,121.55,122.35,75700,93.335
2006-07-06,122.3,124.7,121.5,123.2,104100,93.983
2006-07-07,123.0,123.75,121.0,122.0,100300,93.068
2006-07-10,121.9,122.3,120.55,121.2,110800,92.457
2006-07-11,121.0,121.0,119.15,120.1,75400,91.618
2006-07-12,120.6,120.6,117.75,118.0,206600,90.016
2006-07-13,117.45,118.3,115.4,115.85,130100,88.376
2006-07-14,114.8,115.55,113.0,113.05,125900,86.24
2006-07-17,113.2,115.1,110.0,111.5,227700,85.058
2006-07-18,111.65,114.9,111.0,112.1,248500,85.515
2006-07-19,112.5,115.0,111.5,114.0,247900,86.965
2006-07-20,114.75,117.9,114.5,115.0,205100,87.728
2006-07-21,114.8,117.0,112.75,113.7,109600,86.736
2006-07-24,114.1,116.7,114.0,116.3,178200,88.719
2006-07-25,116.3,117.95,115.0,116.0,282200,88.491
2006-07-26,116.6,117.4,116.0,116.8,158800,89.101
2006-07-27,117.15,117.4,116.5,116.95,227300,89.215
2006-07-28,116.3,118.85,116.3,117.65,262000,89.749
2006-07-31,117.25,119.45,117.25,119.4,110400,91.084
