Date,Open,High,Low,Close,Volume,Adj Close
2014-01-01,6.5,6.5,6.5,6.5,0,6.169
2014-01-02,6.5,6.5520000000000005,6.426,6.426,2963100,6.098
2014-01-03,6.454,6.5089999999999995,6.426,6.45,1196100,6.121
2014-01-06,6.415,6.5,6.404,6.473,1214900,6.143
2014-01-07,6.457999999999999,6.5889999999999995,6.404,6.579,4204700,6.244
2014-01-08,6.5760000000000005,6.622999999999999,6.562,6.611000000000001,2677500,6.274
2014-01-09,6.625,6.709,6.5120000000000005,6.595,4060900,6.2589999999999995
2014-01-10,6.64,6.645,6.57,6.574,1690400,6.239
2014-01-13,6.596,6.619,6.57,6.575,2204300,6.24
2014-01-14,6.5329999999999995,6.632999999999999,6.47,6.632999999999999,2767300,6.295
2014-01-15,6.65,6.67,6.61,6.652,3011100,6.313
2014-01-16,6.6739999999999995,6.6739999999999995,6.581,6.612,3579800,6.275
2014-01-17,6.617999999999999,6.678,6.6,6.678,2440400,6.337999999999999
2014-01-20,6.656000000000001,6.692,6.64,6.692,1386700,6.351
2014-01-21,6.69,6.71,6.622000000000001,6.646,4533300,6.307
2014-01-22,6.654,6.6579999999999995,6.57,6.6,3911400,6.263
2014-01-23,6.582000000000001,6.659,6.476,6.476,4139300,6.146
2014-01-24,6.468999999999999,6.48,6.15,6.193,11261000,5.877000000000001
2014-01-27,6.211,6.31,6.056,6.2860000000000005,6273200,5.965
2014-01-28,6.3389999999999995,6.348,6.1579999999999995,6.183,7180000,5.867999999999999
2014-01-29,6.24,6.382999999999999,6.061,6.153,5702900,5.8389999999999995
2014-01-30,6.16,6.205,6.02,6.185,6857000,5.87
2014-01-31,6.175,6.205,6.02,6.104,6614200,5.792999999999999
2014-02-03,6.115,6.164,5.965,5.994,3502200,5.688
2014-02-04,5.95,6.04,5.895,6.015,4450200,5.707999999999999
2014-02-05,6.02,6.037999999999999,5.877000000000001,5.907,4558300,5.606
2014-02-06,5.9270000000000005,5.98,5.8629999999999995,5.979,5397700,5.6739999999999995
2014-02-07,6.0,6.1160000000000005,5.99,6.096,6479500,5.785
2014-02-10,6.14,6.18,6.075,6.127999999999999,4504700,5.816
2014-02-11,6.167000000000001,6.175,6.05,6.126,4607000,5.814
2014-02-12,6.159,6.169,6.1,6.119,2824100,5.807
2014-02-13,6.119,6.119,5.985,6.069,4243500,5.76
2014-02-14,6.08,6.18,6.04,6.18,2833200,5.865
2014-02-17,6.18,6.22,6.109,6.109,1841300,5.797999999999999
2014-02-18,6.15,6.166,6.105,6.135,3931300,5.822
2014-02-19,6.1,6.17,6.05,6.14,2804000,5.827000000000001
2014-02-20,6.15,6.35,6.06,6.29,6967200,5.968999999999999
2014-02-21,6.33,6.34,6.1370000000000005,6.175,5255900,5.86
2014-02-24,6.195,6.375,6.14,6.308,4327600,5.986000000000001
2014-02-25,6.29,6.38,6.28,6.377999999999999,3258500,6.053
2014-02-26,6.374,6.388999999999999,6.315,6.334,2948600,6.011
2014-02-27,6.31,6.33,6.153,6.189,3393700,5.872999999999999
2014-02-28,6.181,6.233,6.12,6.22,4594700,5.903
2014-03-03,6.12,6.127999999999999,6.019,6.03,14214200,5.723
2014-03-04,6.072,6.107,6.03,6.103,3774400,5.792000000000001
2014-03-05,6.106,6.207000000000001,6.091,6.169,4928200,5.854
2014-03-06,6.2,6.29,6.181,6.266,2718900,5.947
2014-03-07,6.252000000000001,6.336,6.236000000000001,6.268,2290200,5.9479999999999995
2014-03-10,6.268,6.325,6.235,6.277,2083200,5.957000000000001
2014-03-11,6.285,6.285,6.2,6.236000000000001,2575700,5.917999999999999
2014-03-12,6.21,6.231,6.093,6.104,2722500,5.792999999999999
2014-03-13,6.129,6.13,5.956,5.974,4131100,5.669
2014-03-14,5.95,5.956,5.71,5.9,5893700,5.599
2014-03-17,5.9,5.99,5.885,5.985,3292900,5.68
2014-03-18,5.9879999999999995,6.079,5.957000000000001,6.071000000000001,2658000,5.761
2014-03-19,6.085,6.187,6.013,6.162000000000001,3806800,5.848
