Date,Open,High,Low,Close,Volume,Adj Close
2006-01-02,22.05,22.15,21.96,21.98,4377800,10.966
2006-01-03,21.9,21.95,21.72,21.77,5367500,10.861
2006-01-04,21.87,22.1,21.87,21.95,4682700,10.951
2006-01-05,21.96,22.0,21.9,21.9,19479400,10.926
2006-01-06,21.9,21.9,21.9,21.9,0,10.926
2006-01-09,21.99,22.2,21.81,21.9,9334400,10.926
2006-01-10,21.94,21.94,21.68,21.7,17825300,10.826
2006-01-11,21.87,22.08,21.85,22.01,8220800,10.981
2006-01-12,22.09,22.24,22.01,22.01,8990300,10.981
2006-01-13,22.05,22.25,22.05,22.18,17198200,11.066
2006-01-16,22.28,22.99,22.16,22.71,11713900,11.33
2006-01-17,22.7,22.83,22.6,22.6,17855900,11.275
2006-01-18,22.65,22.92,22.56,22.75,25911300,11.35
2006-01-19,22.88,23.65,22.83,23.47,11704200,11.709
2006-01-20,23.5,23.76,23.05,23.25,11563100,11.6
2006-01-23,23.2,23.55,22.89,23.46,16237600,11.704
2006-01-24,23.5,23.55,22.92,22.99,6970500,11.47
2006-01-25,23.08,23.51,22.91,23.3,8701700,11.625
2006-01-26,23.3,23.64,23.27,23.6,7502800,11.774
2006-01-27,23.63,23.7,23.22,23.56,5190700,11.754
2006-01-30,23.49,23.64,23.45,23.6,2964400,11.774
2006-01-31,23.62,23.7,23.41,23.7,9027200,11.824
2006-02-01,23.59,24.47,23.55,24.42,11384100,12.183
2006-02-02,24.57,24.94,24.53,24.81,10970600,12.378
2006-02-03,24.95,25.48,24.28,24.89,15383600,12.418
2006-02-06,25.0,25.0,24.35,24.6,8678500,12.273
2006-02-07,24.42,24.54,23.93,24.37,9580300,12.158
2006-02-08,24.09,24.48,23.95,24.44,5962900,12.193
2006-02-09,24.5,24.84,24.41,24.5,7836000,12.223
2006-02-10,24.4,24.46,24.07,24.21,6877400,12.079
2006-02-13,24.2,24.4,24.11,24.3,3639500,12.123
2006-02-14,24.2,24.4,24.09,24.3,10370600,12.123
2006-02-15,24.3,24.37,23.96,24.2,9240800,12.074
2006-02-16,24.32,24.81,24.21,24.74,7290000,12.343
2006-02-17,24.72,25.0,24.55,24.98,8782200,12.463
2006-02-20,24.86,25.48,24.77,25.48,12347000,12.712
2006-02-21,27.5,27.94,27.4,27.55,51632400,13.745
