Date,Open,High,Low,Close,Volume,Adj Close
2014-01-01,14.065,14.065,14.065,14.065,0,13.819
2014-01-02,14.105,14.18,13.9,13.91,1389300,13.665999999999999
2014-01-03,13.92,14.04,13.87,13.96,833000,13.715
2014-01-06,13.9,14.0,13.845,13.93,1029200,13.686
2014-01-07,13.995,14.21,13.9,14.2,5959900,13.950999999999999
2014-01-08,14.205,14.445,14.16,14.445,5335800,14.192
2014-01-09,14.47,14.625,14.335,14.435,4783600,14.182
2014-01-10,14.465,14.52,14.36,14.395,1410200,14.142999999999999
2014-01-13,14.405,14.515,14.3,14.515,1720700,14.261
2014-01-14,14.365,14.515,14.325,14.425,4038900,14.172
2014-01-15,14.46,14.78,14.425,14.73,1902900,14.472000000000001
2014-01-16,14.73,14.79,14.64,14.735,2367100,14.477
2014-01-17,14.755,15.035,14.715,15.0,2850000,14.737
2014-01-20,14.985,15.1,14.85,14.92,1568600,14.659
2014-01-21,14.95,14.96,14.71,14.76,2600800,14.501
2014-01-22,14.805,14.85,14.58,14.675,2785000,14.418
2014-01-23,14.675,14.835,14.58,14.655,1983700,14.398
2014-01-24,14.735,14.78,14.165,14.255,2260700,14.005
2014-01-27,14.255,14.34,14.105,14.305,1746700,14.054
2014-01-28,14.4,14.44,14.27,14.425,1594600,14.172
2014-01-29,14.495,14.645,14.1,14.34,2056400,14.089
2014-01-30,14.33,14.395,14.13,14.325,1325200,14.074000000000002
2014-01-31,14.26,14.35,14.075,14.255,1685800,14.005
2014-02-03,14.25,14.395,14.015,14.14,2345100,13.892000000000001
2014-02-04,14.03,14.175,13.875,14.1,1264300,13.853
2014-02-05,14.14,14.21,13.96,14.01,1647200,13.764000000000001
2014-02-06,14.085,14.285,14.025,14.225,1381700,13.975999999999999
2014-02-07,14.3,14.47,14.185,14.39,1285500,14.138
2014-02-10,14.42,14.48,14.245,14.3,701800,14.049000000000001
2014-02-11,14.36,14.45,14.27,14.34,1160900,14.089
2014-02-12,14.35,14.46,14.325,14.375,1458200,14.123
2014-02-13,14.4,14.55,14.3,14.515,1058000,14.261
2014-02-14,14.5,14.69,14.465,14.66,1485300,14.402999999999999
2014-02-17,14.67,14.79,14.595,14.605,894400,14.349
2014-02-18,14.56,14.56,14.32,14.445,1367200,14.192
2014-02-19,14.36,14.45,14.255,14.37,1164000,14.118
2014-02-20,14.22,14.415,14.105,14.405,1565300,14.152999999999999
2014-02-21,14.485,14.52,14.215,14.395,1528300,14.142999999999999
2014-02-24,14.46,14.845,14.425,14.84,2196600,14.58
2014-02-25,14.89,15.04,14.85,14.98,3066100,14.717
2014-02-26,15.1,15.56,15.085,15.465,3666900,15.194
2014-02-27,15.455,15.455,15.07,15.33,2779800,15.061
2014-02-28,15.3,15.355,15.12,15.3,1907900,15.032
2014-03-03,15.05,15.21,14.94,15.16,6566600,14.894
2014-03-04,15.335,15.54,15.305,15.54,3022600,15.267999999999999
2014-03-05,15.53,15.59,15.36,15.55,2045200,15.277000000000001
2014-03-06,15.6,15.92,15.58,15.87,2822200,15.592
2014-03-07,15.91,15.91,15.585,15.62,5457800,15.345999999999998
2014-03-10,15.62,15.85,15.62,15.78,1840000,15.503
2014-03-11,15.765,15.79,15.445,15.48,6941000,15.209000000000001
2014-03-12,15.48,15.545,15.32,15.445,2210600,15.174000000000001
2014-03-13,15.0,15.345,14.91,15.035,3743000,14.772
2014-03-14,14.955,14.995,14.69,14.82,2380900,14.56
2014-03-17,14.8,15.07,14.765,15.04,1686500,14.776
2014-03-18,15.03,15.245,14.95,15.18,1545100,14.914000000000001
2014-03-19,15.245,15.4,15.15,15.3,1526500,15.032
2014-03-20,15.245,15.285,15.03,15.195,1487500,14.929
2014-03-21,15.26,15.325,15.15,15.15,1826900,14.884
2014-03-24,15.21,15.235,14.875,14.925,2109600,14.663
2014-03-25,15.2,15.36,15.0,15.33,1664500,15.061
2014-03-26,15.4,15.58,15.355,15.47,1358100,15.199000000000002
2014-03-27,15.47,15.55,15.35,15.505,1581500,15.232999999999999
2014-03-28,15.625,15.745,15.575,15.675,1323100,15.4
2014-03-31,15.755,15.85,15.72,15.725,1168600,15.449000000000002
2014-04-01,15.85,15.945,15.765,15.885,1870900,15.607000000000001
2014-04-02,15.9,15.91,15.72,15.82,1921500,15.543
