Date,Open,High,Low,Close,Volume,Adj Close
2006-01-02,12.42,12.54,12.35,12.53,638500,11.55672
2006-01-03,12.55,12.59,12.51,12.58,1327900,11.60283
2006-01-04,12.6,12.85,12.6,12.85,1916300,11.85186
2006-01-05,12.85,12.87,12.66,12.75,2270100,11.75963
2006-01-06,12.75,12.75,12.75,12.75,0,11.75963
2006-01-09,12.96,12.96,12.77,12.81,2110000,11.81497
2006-01-10,12.81,12.89,12.42,12.53,2957900,11.55672
2006-01-11,12.22,12.53,12.15,12.37,9869100,11.40914
2006-01-12,12.35,12.42,12.28,12.37,2379600,11.40914
2006-01-13,12.38,12.38,12.23,12.27,1726600,11.31691
2006-01-16,12.25,12.34,12.21,12.28,2203200,11.32613
2006-01-17,12.25,12.32,12.21,12.3,1554800,11.34458
2006-01-18,12.24,12.32,12.13,12.31,2274600,11.35381
2006-01-19,12.38,12.6,12.33,12.6,2936300,11.62128
2006-01-20,12.65,12.75,12.55,12.63,2179400,11.64895
2006-01-23,12.65,12.65,12.41,12.47,1897000,11.50138
2006-01-24,12.52,12.57,12.32,12.38,1543800,11.41837
2006-01-25,12.42,12.6,12.27,12.6,1489600,11.62128
2006-01-26,12.58,13.05,12.58,13.01,3935300,11.99943
2006-01-27,13.2,13.2,13.05,13.16,3796400,12.13778
2006-01-30,13.2,13.25,13.06,13.21,1973300,12.1839
2006-01-31,13.12,13.52,13.12,13.4,2594100,12.35914
2006-02-01,13.3,13.39,13.05,13.35,2642900,12.31302
2006-02-02,13.38,13.8,13.35,13.45,3244600,12.40525
2006-02-03,13.56,13.58,13.4,13.48,1825900,12.43292
2006-02-06,13.37,13.48,13.11,13.45,2645600,12.40525
2006-02-07,13.48,13.5,13.14,13.39,2515600,12.34991
2006-02-08,13.2,13.4,13.14,13.36,1449400,12.32224
2006-02-09,13.4,13.65,13.35,13.6,2284600,12.5436
2006-02-10,13.61,13.8,13.51,13.8,1914300,12.72807
2006-02-13,13.72,13.77,13.45,13.7,1519900,12.63583
2006-02-14,13.66,13.85,13.66,13.83,1181300,12.75574
2006-02-15,13.77,13.89,13.72,13.79,2236200,12.71884
2006-02-16,13.8,13.98,13.73,13.89,1532900,12.81108
2006-02-17,13.89,13.94,13.81,13.86,773200,12.78341
2006-02-20,13.71,14.01,13.71,14.0,1289300,12.91253
2006-02-21,14.05,14.7,14.05,14.37,3483300,13.25379
2006-02-22,14.55,14.58,14.17,14.5,2420800,13.37369
2006-02-23,14.5,14.9,14.36,14.8,2430000,13.65039
2006-02-24,14.8,14.89,14.7,14.88,1492300,13.72418
2006-02-27,14.88,14.89,14.76,14.79,1593700,13.64117
2006-02-28,14.77,14.78,14.3,14.53,2570300,13.40136
2006-03-01,14.45,14.63,14.34,14.51,1130300,13.38292
2006-03-02,14.45,14.78,14.45,14.65,1748900,13.51204
2006-03-03,14.61,15.05,14.6,15.04,2484700,13.87175
2006-03-06,15.0,15.4,14.9,15.08,1573500,13.90864
2006-03-07,15.0,15.33,14.87,15.01,1551300,13.84408
2006-03-08,15.01,15.06,14.51,14.64,1910000,13.50282
2006-03-09,14.71,14.75,14.62,14.75,976000,13.60427
2006-03-10,14.8,14.87,14.57,14.87,1035500,13.71495
2006-03-13,14.89,15.3,14.89,15.21,1157000,14.02854
2006-03-14,15.12,15.36,14.96,15.23,1669600,14.04699
2006-03-15,15.24,15.35,15.12,15.3,1056500,14.11155
2006-03-16,15.36,15.92,15.23,15.83,2854200,14.60038
2006-03-17,15.69,16.2,15.54,16.04,2405000,14.79407
2006-03-20,16.04,16.24,15.87,16.09,1153400,14.84019
2006-03-21,16.15,16.15,15.77,16.08,1696500,14.83097
2006-03-22,15.91,16.04,15.86,15.92,1153000,14.68339
2006-03-23,15.94,15.94,15.82,15.89,1039600,14.65572
2006-03-24,15.89,15.99,15.64,15.68,1077600,14.46204
2006-03-27,15.76,15.99,15.76,15.86,1336000,14.62805
2006-03-28,16.0,16.0,15.68,15.71,1744500,14.48971
2006-03-29,15.72,15.85,15.53,15.69,1325700,14.47126
2006-03-30,15.78,15.81,15.59,15.67,777200,14.45281
2006-03-31,15.71,15.97,15.6,15.87,840600,14.63728
2006-04-03,15.98,16.05,15.73,15.83,1413900,14.60038
2006-04-04,15.85,15.85,15.55,15.62,1165500,14.4067
2006-04-05,15.55,16.0,15.55,15.93,1527800,14.69262
2006-04-06,16.04,16.59,16.03,16.55,3381200,15.26446
2006-04-07,16.55,16.95,16.48,16.83,3246500,15.52271
2006-04-10,16.9,17.08,16.69,17.0,2095500,15.6795
2006-04-11,16.9,17.07,16.9,17.01,1411600,15.68873
2006-04-12,16.94,16.95,16.62,16.81,1839400,15.50426
2006-04-13,16.87,17.19,16.85,17.08,820400,15.75329
2006-04-14,17.08,17.08,17.08,17.08,0,15.75329
2006-04-17,17.08,17.08,17.08,17.08,0,15.75329
2006-04-18,17.1,17.68,16.95,17.38,2329600,16.02999
2006-04-19,17.32,17.75,17.28,17.75,3110200,16.37125
2006-04-20,17.76,17.76,17.5,17.7,1231700,16.32513
2006-04-21,17.7,18.01,17.53,17.99,1416700,16.5926
2006-04-24,17.93,17.99,17.65,17.66,2505600,16.28824
2006-04-25,17.52,17.85,17.51,17.63,903400,16.26057
2006-04-26,17.62,17.7,17.42,17.45,958100,16.09455
2006-04-27,17.41,17.55,16.81,17.0,2074100,15.6795
2006-04-28,16.93,17.3,16.7,17.23,1626500,15.89164
2006-05-01,17.23,17.23,17.23,17.23,0,15.89164
2006-05-02,17.3,18.5,17.3,18.0,2989100,16.60183
2006-05-03,18.08,18.35,17.8,18.19,3062700,16.77707
2006-05-04,18.24,20.14,18.12,19.34,6599700,17.83774
2006-05-05,19.34,19.8,19.15,19.4,2919700,17.89308
2006-05-08,19.4,19.73,19.4,19.61,1351600,18.08677
2006-05-09,19.46,19.5,19.05,19.24,1760200,17.74551
2006-05-10,19.24,19.25,18.91,19.03,2936000,17.55182
2006-05-11,19.11,19.13,18.92,18.97,1482100,17.49648
2006-05-12,18.9,18.9,18.18,18.43,1906800,16.99843
2006-05-15,18.25,18.42,17.45,17.54,3066200,16.17756
2006-05-16,17.49,17.78,16.87,17.5,3423400,16.14066
2006-05-17,17.05,18.02,17.0,17.4,6099800,16.04843
2006-05-18,16.88,17.47,16.62,17.02,2105600,15.69795
2006-05-19,16.79,17.17,16.71,16.89,1490300,15.57805
2006-05-22,16.89,16.89,15.8,16.09,3604800,14.84019
2006-05-23,16.01,16.95,15.9,16.83,2825600,15.52271
2006-05-24,16.57,16.83,15.95,16.2,2804600,14.94164
2006-05-25,16.25,16.65,16.2,16.5,1704000,15.21834
2006-05-26,16.87,16.89,16.53,16.53,1475100,15.24601
2006-05-29,16.43,16.9,16.43,16.7,1076800,15.40281
2006-05-30,16.62,16.83,16.27,16.37,1273000,15.09844
2006-05-31,16.04,16.3,15.95,16.3,2370600,15.03388
2006-06-01,16.33,16.52,16.05,16.28,1310800,15.01543
2006-06-02,16.34,16.38,16.15,16.19,1793500,14.93242
2006-06-05,16.19,16.34,16.0,16.08,766600,14.83097
2006-06-06,15.67,15.86,15.5,15.52,2567300,14.31446
2006-06-07,15.76,16.15,15.6,15.72,1991000,14.49893
2006-06-08,15.28,15.69,15.15,15.15,2997300,13.9732
2006-06-09,15.39,15.48,15.26,15.32,1010400,14.13
2006-06-12,15.3,15.43,15.07,15.15,751600,13.9732
2006-06-13,15.0,15.0,14.22,14.5,3522400,13.37369
2006-06-14,14.54,14.92,14.49,14.8,1427000,13.65039
2006-06-19,15.4,15.65,15.15,15.61,1752200,14.39747
2006-06-20,15.47,15.67,15.35,15.55,1675600,14.34213
2006-06-21,15.65,15.7,15.26,15.59,1551600,14.37903
2006-06-22,15.82,16.16,15.7,16.07,3007300,14.82174
2006-06-23,16.1,16.34,15.91,16.03,4500400,14.78485
2006-06-26,16.16,16.2,15.91,15.94,4967800,14.70184
2006-06-27,16.03,16.14,15.75,15.83,1863500,14.60038
2006-06-28,15.75,16.3,15.54,16.15,7513600,14.89553
2006-06-29,16.2,16.6,16.17,16.5,2730500,15.21834
2006-06-30,16.78,16.95,16.69,16.76,5489500,15.45815
2006-07-03,16.9,17.24,16.88,17.16,1506200,15.82707
2006-07-04,17.16,17.2,16.88,17.05,1444800,15.72562
2006-07-05,17.0,17.48,16.91,17.21,3101300,15.87319
2006-07-06,17.2,17.34,16.82,16.9,31791500,15.58727
2006-07-07,16.88,16.92,16.63,16.83,4360100,15.52271
2006-07-10,16.82,17.23,16.71,17.12,1887200,15.79018
2006-07-11,17.05,17.11,16.71,16.75,1758000,15.44892
2006-07-12,16.88,16.99,16.82,16.87,1026500,15.5596
2006-07-13,16.85,16.99,16.52,16.64,1022600,15.34747
2006-07-14,16.51,16.75,16.31,16.37,1353600,15.09844
2006-07-17,16.3,16.35,15.87,15.9,1520500,14.66495
2006-07-18,15.93,16.07,15.78,15.92,781300,14.68339
2006-07-19,16.08,16.47,16.07,16.45,1092600,15.17223
2006-07-20,16.7,16.79,16.35,16.43,1114300,15.15378
2006-07-21,16.31,16.57,16.11,16.17,954100,14.91397
2006-07-24,16.25,16.68,16.17,16.62,911300,15.32902
2006-07-25,16.67,16.75,16.51,16.66,964100,15.36591
2006-07-26,16.73,16.95,16.55,16.88,717800,15.56882
2006-07-27,16.95,17.13,16.75,16.85,1597000,15.54115
2006-07-28,16.78,17.1,16.62,16.82,1489300,15.51348
2006-07-31,16.8,16.91,16.63,16.7,1471800,15.40281
2006-08-01,16.67,17.01,16.67,16.88,1078100,15.56882
2006-08-02,16.94,17.03,16.85,16.96,4324200,15.64261
2006-08-03,16.92,16.93,16.55,16.66,898100,15.36591
2006-08-04,16.78,16.87,16.6,16.85,595000,15.54115
2006-08-07,16.86,16.86,16.5,16.61,1175700,15.3198
2006-08-08,16.7,16.78,16.55,16.71,574300,15.41203
2006-08-09,16.71,16.89,16.6,16.85,820300,15.54115
2006-08-10,16.72,16.79,16.3,16.58,1065300,15.29213
2006-08-11,16.59,16.69,16.45,16.55,838000,15.26446
2006-08-14,16.7,16.8,16.63,16.78,578400,15.47659
2006-08-15,16.74,16.89,16.62,16.85,455200,15.54115
2006-08-16,16.81,17.26,16.78,17.16,875700,15.82707
2006-08-17,17.21,17.43,17.13,17.17,1023600,15.8363
2006-08-18,17.17,17.28,16.8,16.9,1622900,15.58727
2006-08-21,16.89,17.09,16.82,17.01,671800,15.68873
2006-08-22,17.06,17.13,16.63,16.84,1551900,15.53193
2006-08-23,16.92,16.95,16.71,16.71,757300,15.41203
