Date,Open,High,Low,Close,Volume,Adj Close
2014-01-01,119.8,119.8,119.8,119.8,0,21.51
2014-01-02,119.5,119.8,117.6,118.6,7904200,21.295
2014-01-03,118.6,119.45,118.15,118.9,3346900,21.349
2014-01-06,118.3,119.6,118.2,118.3,3154500,21.241
2014-01-07,118.15,119.5,117.2,119.45,10400800,21.448
2014-01-08,119.45,119.7,118.1,118.65,4543300,21.304000000000002
2014-01-09,118.55,120.7,117.8,118.35,4456200,21.25
2014-01-10,119.25,119.25,117.95,118.5,5569400,21.276999999999997
2014-01-13,118.2,118.6,117.25,117.9,2682600,21.169
2014-01-14,117.2,118.5,116.6,118.5,4017200,21.276999999999997
2014-01-15,118.9,119.6,118.05,119.55,3990600,21.465
2014-01-16,119.85,120.0,118.5,119.5,4258500,21.456999999999997
2014-01-17,119.85,120.2,118.7,118.9,4586700,21.349
2014-01-20,118.55,120.2,118.4,119.9,2375600,21.528000000000002
2014-01-21,120.0,120.95,119.5,119.9,4007300,21.528000000000002
2014-01-22,120.6,121.0,118.3,118.85,3474400,21.34
2014-01-23,116.9,117.85,116.25,116.65,6003900,20.945
2014-01-24,116.8,117.55,112.8,113.15,5617100,20.316
2014-01-27,114.0,114.25,111.05,111.2,8781400,19.965999999999998
2014-01-28,112.4,112.6,111.15,111.35,6282400,19.993
2014-01-29,111.65,113.45,110.75,112.2,6744400,20.146
2014-01-30,112.35,112.5,110.85,111.35,5458100,19.993
2014-01-31,111.05,112.0,109.4,110.7,9342700,19.875999999999998
2014-02-03,111.0,111.95,108.1,108.2,5982800,19.428
2014-02-04,108.15,108.45,106.8,107.9,5387400,19.374000000000002
2014-02-05,107.6,108.3,107.15,108.0,4758900,19.392
2014-02-06,108.9,111.45,108.5,109.65,8384300,19.688
2014-02-07,110.35,111.55,109.5,111.5,4949000,20.02
2014-02-10,112.15,112.15,109.5,110.0,4269200,19.750999999999998
2014-02-11,110.9,111.0,109.85,110.85,4101000,19.903
2014-02-12,111.25,111.75,110.65,111.15,3022900,19.957
2014-02-13,110.8,111.2,109.75,110.85,9845100,19.903
2014-02-14,110.9,111.8,110.5,111.35,2998600,19.993
2014-02-17,111.0,111.6,109.4,109.55,3455800,19.67
2014-02-18,106.7,107.1,104.7,105.15,11372400,18.88
2014-02-19,104.95,105.35,103.6,104.65,5411000,18.79
2014-02-20,103.7,105.85,103.25,105.7,6016200,18.979
2014-02-21,106.3,106.45,105.35,106.0,3370000,19.033
2014-02-24,105.45,106.55,105.0,106.15,4229600,19.059
2014-02-25,106.0,106.4,104.8,105.55,4026900,18.952
2014-02-26,105.55,106.25,104.85,105.05,2825800,18.862000000000002
2014-02-27,103.25,104.05,102.65,103.5,5168000,18.584
2014-02-28,103.9,104.35,102.7,104.3,6263400,18.727
2014-03-03,102.25,103.85,101.5,103.15,7652400,18.521
2014-03-04,104.25,105.85,104.0,105.7,5504600,18.979
2014-03-05,105.3,106.55,104.85,106.05,7199900,19.042
2014-03-06,106.05,107.55,106.05,106.95,5069600,19.203
2014-03-07,107.4,107.95,105.7,105.7,4341100,18.979
2014-03-10,104.65,105.6,104.1,104.85,7270400,18.826
2014-03-11,105.35,105.35,104.2,104.75,3856500,18.808
2014-03-12,104.3,104.3,102.65,103.35,9887700,18.557000000000002
2014-03-13,103.55,103.95,102.1,102.1,4874900,18.332
2014-03-14,101.65,102.7,101.05,101.65,6745500,18.250999999999998
2014-03-17,101.8,103.95,101.5,103.35,6328700,18.557000000000002
2014-03-18,103.35,103.75,101.9,103.1,14074000,18.512
2014-03-19,106.3,108.15,106.15,108.1,26624500,19.41
2014-03-20,106.7,107.5,106.0,107.1,8060100,19.23
