Date,Open,High,Low,Close,Volume,Adj Close
2014-06-30,10.0,10.05,9.65,9.65,5412400,9.582
2014-07-01,9.77,10.295,9.75,10.08,2428600,10.009
2014-07-02,10.085,10.39,10.02,10.34,3400800,10.267000000000001
2014-07-03,10.35,10.65,10.285,10.45,7611100,10.377
2014-07-04,10.65,10.65,10.305,10.56,7480100,10.485999999999999
2014-07-07,10.5,10.52,10.4,10.49,1753200,10.415999999999999
2014-07-08,10.485,10.485,10.225,10.3,811700,10.228
2014-07-09,10.32,10.32,10.16,10.2,2118300,10.128
2014-07-10,10.23,10.25,10.0,10.0,271300,9.93
2014-07-11,10.33,10.33,10.0,10.0,122900,9.93
2014-07-14,10.135,10.14,9.89,10.05,1124200,9.979
2014-07-15,10.1,10.1,9.92,10.0,210600,9.93
2014-07-16,9.99,10.05,9.99,10.05,259700,9.979
2014-07-17,10.0,10.05,9.998,10.0,133300,9.93
2014-07-18,10.04,10.04,9.91,9.95,214500,9.88
2014-07-21,10.02,10.03,9.911,10.0,114500,9.93
2014-07-22,10.0,10.01,9.99,10.0,160300,9.93
2014-07-23,10.02,10.02,9.912,9.999,125300,9.929
2014-07-24,10.01,10.02,10.0,10.02,60100,9.95
2014-07-25,10.0,10.01,9.99,10.0,203100,9.93
2014-07-28,9.99,10.0,9.916,10.0,299900,9.93
2014-07-29,9.99,10.02,9.911,9.99,149400,9.92
2014-07-30,9.99,10.0,9.9,9.99,159000,9.92
2014-07-31,9.95,9.995,9.88,9.88,258000,9.811
2014-08-01,9.95,9.95,9.5,9.66,537700,9.592
2014-08-04,9.79,9.9,9.5,9.55,313200,9.482999999999999
2014-08-05,9.18,9.495,9.18,9.321,691700,9.255
2014-08-06,9.315,9.435,9.2,9.234,366400,9.169
2014-08-07,9.242,9.62,9.24,9.41,873300,9.344
2014-08-08,9.365,9.66,9.1,9.249,600700,9.184
2014-08-11,9.255,9.378,9.25,9.3,257400,9.235
2014-08-12,9.3,9.8,9.256,9.345,430400,9.279
2014-08-13,9.34,9.634,9.12,9.175,516700,9.11
2014-08-14,9.158999999999999,9.609,9.1,9.57,261600,9.503
2014-08-15,9.283,9.701,9.126,9.4,415400,9.334
2014-08-18,9.38,9.49,9.23,9.3,847700,9.235
2014-08-19,9.33,9.4,9.25,9.4,325200,9.334
2014-08-20,9.305,9.59,9.272,9.3,319000,9.235
