Date,Open,High,Low,Close,Volume,Adj Close
2014-01-01,18.32,18.32,18.32,18.32,0,16.195
2014-01-02,18.33,18.42,18.04,18.06,8249300,15.966
2014-01-03,18.125,18.185,17.955,18.095,18766700,15.997
2014-01-06,18.11,18.36,18.1,18.115,13157300,16.014
2014-01-07,18.16,18.645,18.135,18.61,18965700,16.452
2014-01-08,18.655,18.7,18.485,18.67,10123900,16.505
2014-01-09,18.75,18.94,18.625,18.735,7049800,16.562
2014-01-10,18.815,19.05,18.795,18.93,7595100,16.735
2014-01-13,19.0,19.045,18.855,18.91,4625800,16.717
2014-01-14,18.8,18.905,18.715,18.9,4531200,16.708
2014-01-15,18.93,19.08,18.755,19.005,13798700,16.801
2014-01-16,18.945,19.065,18.92,19.035,5378500,16.828
2014-01-17,18.95,19.1,18.87,19.005,7648000,16.801
2014-01-20,19.05,19.05,18.935,19.0,3103300,16.797
2014-01-21,19.05,19.1,18.675,18.71,6645100,16.54
2014-01-22,18.74,18.785,18.5,18.56,4380800,16.408
2014-01-23,18.54,18.66,18.265,18.35,7406800,16.222
2014-01-24,18.29,18.35,17.6,17.68,11893200,15.63
2014-01-27,17.6,17.81,17.46,17.525,9539000,15.493
2014-01-28,17.645,17.78,17.56,17.65,7112900,15.603
2014-01-29,17.775,17.8,17.255,17.625,8436600,15.581
2014-01-30,17.645,17.85,17.54,17.615,7391800,15.572000000000001
2014-01-31,17.555,17.625,17.25,17.38,9139200,15.364
2014-02-03,17.425,17.5,17.1,17.13,6088300,15.142999999999999
2014-02-04,17.0,17.345,16.94,17.105,7636400,15.120999999999999
2014-02-05,17.1,17.245,17.02,17.145,5802300,15.157
2014-02-06,17.28,17.5,17.13,17.425,8945200,15.404000000000002
2014-02-07,17.47,17.755,17.31,17.665,6160800,15.616
2014-02-10,17.78,17.79,17.48,17.57,4719000,15.532
2014-02-11,17.65,17.75,17.42,17.615,8182200,15.572000000000001
2014-02-12,17.7,17.765,17.53,17.53,6333900,15.497
2014-02-13,17.51,17.59,17.33,17.57,13011000,15.532
2014-02-14,17.6,17.75,17.5,17.61,13174700,15.568
2014-02-17,17.685,17.77,17.59,17.625,3456400,15.581
2014-02-18,17.65,17.68,17.36,17.575,5055600,15.537
2014-02-19,17.57,17.71,17.4,17.625,5089400,15.581
2014-02-20,17.5,18.07,17.465,17.985,8954200,15.899000000000001
2014-02-21,18.075,18.115,17.95,18.075,5035900,15.979000000000001
2014-02-24,18.09,18.28,18.06,18.21,5704200,16.098
2014-02-25,18.21,18.37,18.17,18.37,4915300,16.24
2014-02-26,18.4,18.67,18.1,18.555,8437000,16.403
2014-02-27,18.52,18.59,18.24,18.39,4861800,16.257
2014-02-28,18.38,18.45,18.075,18.205,6054400,16.094
2014-03-03,17.965,18.185,17.86,17.925,20497600,15.845999999999998
2014-03-04,18.14,18.29,18.05,18.26,4354200,16.142
2014-03-05,18.17,18.44,18.165,18.34,12741400,16.213
2014-03-06,18.42,18.595,18.36,18.395,5171600,16.262
2014-03-07,18.375,18.455,18.12,18.125,4254800,16.023
2014-03-10,18.12,18.285,17.97,18.1,5006600,16.000999999999998
2014-03-11,18.19,18.195,17.88,17.925,5024200,15.845999999999998
2014-03-12,17.835,17.945,17.625,17.81,4074800,15.745
2014-03-13,17.86,17.965,17.6,17.6,19912500,15.559000000000001
2014-03-14,17.46,17.53,17.185,17.385,13048300,15.369000000000002
2014-03-17,17.36,17.695,17.315,17.615,5328100,15.572000000000001
2014-03-18,17.58,17.94,17.485,17.79,14425700,15.727
2014-03-19,17.765,17.96,17.66,17.86,4903500,15.789000000000001
2014-03-20,17.66,17.92,17.605,17.88,5835200,15.807
2014-03-21,17.85,18.08,17.835,18.005,10571100,15.917
2014-03-24,18.065,18.095,17.655,17.715,7350700,15.661
2014-03-25,17.75,17.97,17.585,17.87,8702300,15.798
2014-03-26,18.0,18.29,17.94,18.175,7906400,16.067
2014-03-27,18.17,18.405,18.15,18.405,6739500,16.271
