Date,Open,High,Low,Close,Volume,Adj Close
2006-01-02,4.63047,4.6848,4.62838,4.67853,5723800,3.25713
2006-01-03,4.6639,4.68062,4.63883,4.65763,3593700,3.24258
2006-01-04,4.65763,4.68062,4.64719,4.67226,3690000,3.25277
2006-01-05,4.67644,4.69107,4.62838,4.63674,4424800,3.22804
2006-01-09,4.63465,4.65554,4.60748,4.64927,17679400,3.23676
2006-01-10,4.62629,4.64719,4.60957,4.63674,9749200,3.22804
2006-01-11,4.64927,4.67435,4.63883,4.67017,8505100,3.25131
2006-01-12,4.68271,4.68271,4.66181,4.66599,10738400,3.2484
2006-01-13,4.68062,4.68062,4.65554,4.66181,2145500,3.24549
2006-01-16,4.66181,4.69107,4.65763,4.68689,2876800,3.26295
2006-01-17,4.67226,4.68062,4.63883,4.64927,1572700,3.23676
2006-01-18,4.63883,4.65345,4.60748,4.64092,2394000,3.23095
2006-01-19,4.68062,4.69315,4.66181,4.68898,6388100,3.26441
2006-01-20,4.69733,4.75793,4.6848,4.7433,6196600,3.30222
2006-01-23,4.70569,4.74121,4.68271,4.73286,3092300,3.29496
2006-01-24,4.73495,4.73704,4.68689,4.68689,2605300,3.26295
2006-01-25,4.71823,4.76629,4.69315,4.76629,2919900,3.31823
2006-01-26,4.79972,4.9042,4.79763,4.82898,5500700,3.36187
2006-01-27,4.86868,4.88957,4.83524,4.84778,6760900,3.37496
2006-01-30,4.84778,4.85823,4.8039,4.81435,18854400,3.35169
2006-01-31,4.8436,4.86032,4.81435,4.82062,6695100,3.35605
2006-02-01,4.85823,4.94181,4.82062,4.91465,7697200,3.42152
2006-02-02,4.91047,4.9836,4.89584,4.89584,6866200,3.40842
2006-02-03,4.91047,4.95226,4.89584,4.91256,4163000,3.42006
2006-02-06,4.93136,4.98151,4.91465,4.9648,4059100,3.45643
2006-02-07,4.9648,4.99196,4.95017,4.98778,3988000,3.47243
2006-02-08,4.9836,5.05465,4.96689,5.02121,5679900,3.4957
2006-02-09,5.01494,5.08599,4.99614,5.03793,4300800,3.50734
2006-02-10,5.02539,5.08808,5.01286,5.02539,2639200,3.49861
2006-02-13,5.05674,5.05674,5.0233,5.03584,1360500,3.50589
2006-02-14,5.03584,5.05674,5.02121,5.05674,5157900,3.52044
2006-02-15,5.07763,5.13823,5.05674,5.11315,8136700,3.55971
2006-02-16,5.12151,5.15285,5.11942,5.14032,3277200,3.57863
2006-02-17,5.203,5.25315,5.13405,5.23226,6676900,3.64263
2006-02-20,5.23226,5.34718,5.23226,5.28659,4134300,3.68046
2006-02-21,5.42241,5.42241,5.23644,5.25524,8015500,3.65863
2006-02-22,5.28659,5.30539,5.20509,5.26151,8538500,3.663
2006-02-23,5.23853,5.27614,5.23017,5.24688,3106900,3.65281
2006-02-24,5.26778,5.26778,5.203,5.2239,2197600,3.63681
2006-02-27,5.25733,5.3242,5.21763,5.3242,2986100,3.70664
2006-02-28,5.3242,5.32838,5.23853,5.28659,5230900,3.68046
2006-03-01,5.28659,5.33882,5.26778,5.33464,4643200,3.71391
2006-03-02,5.33464,5.37017,5.27823,5.28032,3119800,3.67609
2006-03-03,5.27614,5.31166,5.26569,5.26778,2653700,3.66736
2006-03-06,5.28032,5.30957,5.25733,5.28032,2658700,3.67609
2006-03-07,5.26987,5.2845,5.24479,5.2845,4556000,3.679
2006-03-08,5.30539,5.34091,5.23435,5.25106,5133000,3.65572
2006-03-09,5.26569,5.28659,5.25733,5.27196,1791300,3.67027
2006-03-10,5.25524,5.32838,5.24479,5.32838,2418600,3.70955
2006-03-13,5.34927,5.41196,5.34927,5.37017,3421600,3.73865
2006-03-14,5.37017,5.39106,5.32838,5.35554,2249800,3.72846
2006-03-15,5.39106,5.39733,5.34927,5.39106,5006200,3.75319
2006-03-16,5.39315,5.4642,5.37017,5.4642,3243100,3.80411
2006-03-17,5.483,5.57913,5.4642,5.54779,5009900,3.8623
2006-03-20,5.58749,5.60003,5.53733,5.58122,2255800,3.88557
2006-03-21,5.61256,5.67316,5.56242,5.66271,4847800,3.9423
2006-03-22,5.62928,5.9051,5.62928,5.78809,10642600,4.02959
2006-03-23,5.82779,5.82779,5.6251,5.646,25269700,3.93067
2006-03-24,5.74421,5.74421,5.60421,5.6251,4125700,3.91612
2006-03-27,5.63137,5.64182,5.57076,5.60003,4856000,3.89867
2006-03-28,5.60003,5.62719,5.57704,5.57913,4161900,3.88412
2006-03-29,5.60003,5.67525,5.58749,5.63137,2819600,3.92048
2006-03-30,5.62928,5.67107,5.61256,5.66062,3025700,3.94085
2006-03-31,5.62928,5.67107,5.61674,5.66271,1866200,3.9423
2006-04-03,5.70241,5.74421,5.67943,5.71704,3254600,3.98013
2006-04-04,5.71495,5.71495,5.62092,5.65853,1828900,3.93939
2006-04-05,5.65227,5.68361,5.64182,5.67316,2200100,3.94958
2006-04-06,5.66898,5.69406,5.66062,5.67316,3372000,3.94958
2006-04-07,5.67316,5.68152,5.62301,5.62928,2732600,3.91903
2006-04-10,5.61047,5.68361,5.58958,5.67943,1310000,3.95394
2006-04-11,5.65227,5.68152,5.6251,5.6251,3315000,3.91612
2006-04-12,5.65227,5.67734,5.60839,5.65644,2958200,3.93794
2006-04-13,5.64182,5.68361,5.64182,5.66898,1220600,3.94667
2006-04-18,5.68361,5.74212,5.65018,5.68361,4528900,3.95685
2006-04-19,5.68152,5.8257,5.68152,5.79853,10201100,4.03686
2006-04-20,5.83197,5.90719,5.79435,5.86122,3348300,4.0805
2006-04-21,5.9051,5.94271,5.89674,5.91346,3005400,4.11687
2006-04-24,5.92391,5.97614,5.89256,5.94898,2954400,4.1416
2006-04-25,6.01376,6.15376,5.88212,5.89047,10438500,4.10087
2006-04-26,5.91973,5.99913,5.90719,5.96988,5490000,4.15615
2006-04-27,5.94898,6.0451,5.94689,6.01794,4956200,4.18961
2006-04-28,6.03256,6.09107,5.97614,6.05973,20170500,4.21871
2006-05-02,5.96361,6.11614,5.86749,5.926,7128600,4.1256
