Date,Open,High,Low,Close,Volume,Adj Close
2006-01-02,19.8024,20.5716,19.8024,20.5124,309800,19.15019
2006-01-03,20.3645,20.6998,20.3645,20.5519,567100,19.18706
2006-01-04,20.69,20.69,20.3251,20.3251,391800,18.97532
2006-01-05,20.3645,20.3941,19.9306,20.0095,632900,18.68068
2006-01-06,20.0095,20.0095,20.0095,20.0095,0,18.68068
2006-01-09,19.9207,19.9207,19.6446,19.7038,2387300,18.39528
2006-01-10,19.7038,19.8123,19.546,19.6446,442200,18.34002
2006-01-11,19.6249,19.7038,19.477,19.6643,731800,18.35841
2006-01-12,19.6348,19.6939,19.4868,19.546,906200,18.24796
2006-01-13,19.4868,19.5263,19.2403,19.3783,807600,18.0914
2006-01-16,19.3783,19.477,19.2699,19.4079,733600,18.11904
2006-01-17,19.26,19.5164,19.1121,19.4868,762000,18.19269
2006-01-18,19.2995,19.3389,19.0726,19.1515,1027500,17.87966
2006-01-19,19.2304,19.763,19.122,19.7235,1050300,18.41368
2006-01-20,19.8221,20.2067,19.8123,19.9996,1718900,18.67144
2006-01-23,19.6446,20.0687,19.3488,19.4967,2258200,18.20194
2006-01-24,19.8221,19.8221,19.1614,19.2107,801500,17.93493
2006-01-25,19.3488,19.6742,19.191,19.3586,511000,18.07301
2006-01-26,19.26,19.8517,19.26,19.832,718100,18.51497
2006-01-27,19.8714,20.1081,19.615,19.7235,477900,18.41368
2006-01-30,19.8024,19.9799,19.763,19.9207,461700,18.59778
2006-01-31,20.0687,20.7097,20.0391,20.6801,1162800,19.30675
2006-02-01,20.828,22.0016,20.759,21.7945,1961800,20.34714
2006-02-02,22.0114,22.4059,21.6564,21.8339,2194300,20.38393
2006-02-03,21.7945,22.0805,21.6071,21.617,1605700,20.18143
2006-02-06,21.8142,21.9326,21.5085,21.6761,745800,20.23661
2006-02-07,21.7846,21.9424,21.4099,21.4395,839600,20.01572
2006-02-08,21.4197,21.5282,21.2225,21.4986,843500,20.07089
2006-02-09,21.6268,21.8438,21.5184,21.6959,653100,20.25509
2006-02-10,21.6959,21.8142,21.5578,21.6959,541600,20.25509
2006-02-13,21.7945,22.041,21.5677,22.041,1086800,20.57727
2006-02-14,22.0607,22.5834,22.0607,22.4848,1457200,20.9916
2006-02-15,22.6327,22.8694,22.5933,22.613,1442500,21.11129
2006-02-16,22.5834,22.9187,22.5834,22.7018,1386200,21.19419
2006-02-17,22.83,23.0962,22.7215,22.9877,512100,21.4611
2006-02-20,22.9877,23.1258,22.5834,22.7609,749200,21.24937
2006-02-21,23.0568,23.0568,22.5834,22.6525,509300,21.14816
