Date,Open,High,Low,Close,Volume,Adj Close
2006-06-21,17.1,17.45,17.0,17.25,5115100,13.176
2006-06-22,17.63,18.0,17.52,17.6,1992500,13.443
2006-06-23,17.85,17.89,17.1,17.5,461400,13.367
2006-06-26,17.45,17.94,17.45,17.94,1130200,13.703
2006-06-27,17.95,18.24,17.92,18.1,466300,13.825
2006-06-28,18.0,18.0,17.3,17.61,360200,13.451
2006-06-29,17.75,17.75,17.58,17.75,339300,13.558
2006-06-30,17.95,17.95,17.55,17.75,147200,13.558
2006-07-03,17.76,18.0,17.53,17.9,260300,13.672
2006-07-04,18.0,18.6,18.0,18.5,264800,14.131
2006-07-05,18.55,18.7,18.25,18.25,1054900,13.94
2006-07-06,18.55,18.55,18.22,18.4,172300,14.054
2006-07-07,18.4,18.45,18.25,18.44,93800,14.085
2006-07-10,18.3,18.4,17.7,18.0,280900,13.749
2006-07-11,18.0,18.09,17.8,18.0,507200,13.749
2006-07-12,18.32,19.33,18.1,18.85,834100,14.398
2006-07-13,18.81,19.55,18.81,19.4,299600,14.818
2006-07-14,19.51,19.55,18.9,19.15,550500,14.627
2006-07-17,18.95,19.5,18.21,18.79,207200,14.352
2006-07-18,18.7,18.75,18.35,18.35,451100,14.016
2006-07-19,18.13,19.23,18.13,19.0,2461600,14.513
2006-07-20,19.25,19.4,18.25,18.99,189400,14.505
2006-07-21,18.99,19.11,18.57,19.0,783700,14.513
2006-07-24,19.39,19.39,18.9,19.24,73200,14.696
2006-07-25,19.26,19.39,19.07,19.39,815500,14.81
2006-07-26,19.39,20.2,19.12,19.9,233600,15.2
2006-07-27,20.0,20.48,19.53,20.48,824100,15.643
2006-07-28,20.3,20.37,19.87,20.09,61900,15.345
2006-07-31,20.35,20.38,19.8,19.8,29800,15.124
2006-08-01,20.11,20.11,19.52,19.95,631700,15.238
2006-08-02,19.53,20.4,19.53,20.4,51600,15.582
2006-08-03,20.05,20.36,19.55,19.55,91700,14.933
2006-08-04,19.97,20.5,19.82,20.5,46800,15.658
2006-08-07,20.9,21.48,20.7,21.13,295000,16.14
2006-08-08,21.58,21.58,21.05,21.05,281100,16.078
2006-08-09,21.2,21.3,20.85,21.0,231600,16.04
2006-08-10,20.99,21.0,20.6,21.0,79800,16.04
2006-08-11,21.2,21.2,20.8,20.92,94500,15.979
2006-08-14,21.25,21.25,20.8,20.8,75800,15.887
2006-08-15,20.72,21.0,20.72,20.78,130200,15.872
2006-08-16,20.76,20.86,20.7,20.7,191100,15.811
2006-08-17,20.75,20.9,20.75,20.8,204100,15.887
2006-08-18,20.85,20.85,20.39,20.55,330000,15.696
2006-08-21,20.89,21.25,20.55,21.25,120300,16.231
2006-08-22,21.25,21.45,21.1,21.3,146200,16.269
2006-08-23,21.32,22.26,21.32,21.4,431700,16.346
2006-08-24,21.76,21.95,21.4,21.71,126300,16.583
2006-08-25,21.73,21.94,21.57,21.75,114900,16.613
2006-08-28,21.85,21.9,21.45,21.45,35500,16.384
2006-08-29,21.5,21.5,20.9,21.28,93100,16.254
2006-08-30,21.68,21.68,21.29,21.4,308900,16.346
2006-08-31,21.42,21.5,21.22,21.28,336400,16.254
2006-09-01,21.35,21.5,21.31,21.4,223300,16.346
2006-09-04,21.5,21.59,21.4,21.49,325200,16.414
2006-09-05,21.55,21.8,21.46,21.71,320000,16.583
2006-09-06,21.79,21.8,21.45,21.45,35700,16.384
