Fecha Hora;distancia;Valor Minimo;Valor Estimado
05160406;3.01;95;95
05161015;3.01;95;96
05162323;3.01;95;100
05171309;3.01;95;95
05211409;3.01;95;95
05171535;3.01;95;98
05190255;3.01;95;99
05211317;3.01;95;95
05181254;3.01;95;95
05152220;3.01;95;95
05210908;3.01;95;99
05211735;3.01;95;95
05211726;3.01;95;95
05202037;3.01;95;103
05170654;3.01;95;95
05160844;3.01;95;99
05161148;3.01;95;95
05180047;3.01;95;95
05211518;3.01;95;98
05162248;3.01;95;95
05161211;3.01;95;101
05190707;3.01;95;98
05181837;3.01;95;103
05161008;3.01;95;95
05210633;3.01;95;99
05162325;3.01;95;97
05190854;3.01;95;103
05192301;3.01;95;95
05160731;3.01;95;95
05180452;3.01;95;101
05210105;3.01;95;95
05190449;3.01;95;95
05191343;3.01;95;100
05180735;3.01;95;95
05170101;3.01;95;100
05191901;3.01;95;103
05152139;3.01;95;95
05161131;3.01;95;99
05160711;3.01;95;95
05170149;3.01;95;95
05170644;3.01;95;101
05210519;3.01;95;109
05170247;3.01;95;100
05151646;3.01;95;95
05172313;3.01;95;95
05191946;3.01;95;104
05210112;3.01;95;95
05201950;3.01;95;95
05202023;3.01;95;95
05181453;3.01;95;98
05202307;3.01;95;97
05170505;3.01;95;95
05211322;3.01;95;95
05200729;3.01;95;103
05190214;3.01;95;95
05201645;3.01;95;99
05161912;3.01;95;99
05171243;3.01;95;100
05200746;3.01;95;95
05190844;3.01;95;102
05152108;3.01;95;95
05160116;3.01;95;95
05191645;3.01;95;107
05181148;3.01;95;97
05160944;3.01;95;98
05200838;3.01;95;97
05201148;3.01;95;103
05212216;3.01;95;95
05210116;3.01;95;95
05162302;3.01;95;99
05161122;3.01;95;95
05191453;3.01;95;103
05161014;3.01;95;97
05191754;3.01;95;98
05181401;3.01;95;114
05161500;3.01;95;96
05181246;3.01;95;95
05170612;3.01;95;98
05201000;3.01;95;97
05170305;3.01;95;97
05181719;3.01;95;117
05182202;3.01;95;96
05210734;3.01;95;95
05181912;3.01;95;95
05190948;3.01;95;95
05201403;3.01;95;98
05181904;3.01;95;99
05160850;3.01;95;98
05180651;3.01;95;100
05190636;3.01;95;95
05181902;3.01;95;100
05191256;3.01;95;96
05211719;3.01;95;95
05182000;3.01;95;95
05151713;3.01;95;99
05171314;3.01;95;96
05181800;3.01;95;95
05152036;3.01;95;95
05211407;3.01;95;95
05161822;3.01;95;100
05182247;3.01;95;99
05191450;3.01;95;104
05200015;3.01;95;95
05180049;3.01;95;95
05180231;3.01;95;96
05171951;3.01;95;95
05190711;3.01;95;97
05200354;3.01;95;106
05210932;3.01;95;95
05170552;3.01;95;100
05172128;3.01;95;96
05210101;3.01;95;95
05160604;3.01;95;95
05170605;3.01;95;95
05211129;3.01;95;97
05161920;3.01;95;95
05190239;3.01;95;96
05162235;3.01;95;95
05170446;3.01;95;98
05161437;3.01;95;95
05201147;3.01;95;102
05192027;3.01;95;96
05170353;3.01;95;95
05201136;3.01;95;105
05191035;3.01;95;95
05170228;3.01;95;96
05171917;3.01;95;96
05181856;3.01;95;95
05172032;3.01;95;95
05171549;3.01;95;98
05191426;3.01;95;95
05211348;3.01;95;95
05161325;3.01;95;95
05211120;3.01;95;99
05201931;3.01;95;99
05160803;3.01;95;101
05201907;3.01;95;99
05210327;3.01;95;101
05171522;3.01;95;96
05211837;3.01;95;95
05182244;3.01;95;98
05181043;3.01;95;95
05200758;3.01;95;97
05200802;3.01;95;96
05192123;3.01;95;98
05211827;3.01;95;95
05192201;3.01;95;98
05212227;3.01;95;95
05151851;3.01;95;95
05160436;3.01;95;95
05181333;3.01;95;98
05200853;3.01;95;95
05161242;3.01;95;95
05211434;3.01;95;95
05160804;3.01;95;101
05160927;3.01;95;97
05161239;3.01;95;95
05152035;3.01;95;95
05201249;3.01;95;95
05180448;3.01;95;95
05180023;3.01;95;97
05190555;3.01;95;98
05200634;3.01;95;97
05171610;3.01;95;97
05202047;3.01;95;106
05202146;3.01;95;95
05182353;3.01;95;97
05210820;3.01;95;95
05211803;3.01;95;98
05210240;3.01;95;95
05171004;3.01;95;95
05180747;3.01;95;96
05201842;3.01;95;95
05180850;3.01;95;96
05200038;3.01;95;95
05172320;3.01;95;95
05171427;3.01;95;100
05171209;3.01;95;95
05211438;3.01;95;95
05171833;3.01;95;96
05181411;3.01;95;108
05202243;3.01;95;95
05170435;3.01;95;102
05172201;3.01;95;99
05181527;3.01;95;97
05200301;3.01;95;95
05191913;3.01;95;99
05160840;3.01;95;100
05200612;3.01;95;95
05162027;3.01;95;100
05210208;3.01;95;96
05191234;3.01;95;98
05160535;3.01;95;105
05201725;3.01;95;100
05200024;3.01;95;97
05210425;3.01;95;98
05190244;3.01;95;95
05152256;3.01;95;95
05151953;3.01;95;96
05192228;3.01;95;97
05172142;3.01;95;95
05170841;3.01;95;102
05190108;3.01;95;100
05190009;3.01;95;95
05192148;3.01;95;97
05210117;3.01;95;95
05180330;3.01;95;95
05211907;3.01;95;95
05212009;3.01;95;95
05181636;3.01;95;101
05172055;3.01;95;95
05160100;3.01;95;97
05171158;3.01;95;95
05180512;3.01;95;97
05171820;3.01;95;98
05192136;3.01;95;97
05211304;3.01;95;95
05160926;3.01;95;97
05170417;3.01;95;101
05171247;3.01;95;102
05152146;3.01;95;95
05170108;3.01;95;95
05161411;3.01;95;98
05161453;3.01;95;99
05201531;3.01;95;100
05152338;3.01;95;95
05161059;3.01;95;95
05170908;3.01;95;95
05210719;3.01;95;99
05190407;3.01;95;109
05190022;3.01;95;95
05201655;3.01;95;98
05170321;3.01;95;97
05171515;3.01;95;99
05191429;3.01;95;95
05191104;3.01;95;101
05201003;3.01;95;95
05171417;3.01;95;99
05211740;3.01;95;95
05160819;3.01;95;99
05200611;3.01;95;95
05170026;3.01;95;96
05211015;3.01;95;95
05161413;3.01;95;103
05170201;3.01;95;101
05191301;3.01;95;99
05190017;3.01;95;95
05151827;3.01;95;95
05171451;3.01;95;98
05162116;3.01;95;96
05202049;3.01;95;95
05170140;3.01;95;95
05161933;3.01;95;98
05210129;3.01;95;98
05211445;3.01;95;95
05200514;3.01;95;101
05191032;3.01;95;95
05210020;3.01;95;95
05180422;3.01;95;95
05191829;3.01;95;95
05180708;3.01;95;100
05210646;3.01;95;101
05180559;3.01;95;97
05211006;3.01;95;98
05162259;3.01;95;95
05200111;3.01;95;95
05190247;3.01;95;97
05210106;3.01;95;100
05171001;3.01;95;96
05172310;3.01;95;101
05172331;3.01;95;95
05190922;3.01;95;103
05182200;3.01;95;95
05210147;3.01;95;95
05180252;3.01;95;97
05210121;3.01;95;99
05190741;3.01;95;110
05211542;3.01;95;95
05211312;3.01;95;95
05181447;3.01;95;101
05170141;3.01;95;96
05181428;3.01;95;97
05212202;3.01;95;99
05201739;3.01;95;95
05160401;3.01;95;99
05201653;3.01;95;100
05180435;3.01;95;97
05161018;3.01;95;96
05151722;3.01;95;100
05152008;3.01;95;95
05201547;3.01;95;96
05200519;3.01;95;99
05191756;3.01;95;95
05151836;3.01;95;96
05160907;3.01;95;96
05190142;3.01;95;95
05182021;3.01;95;97
05170533;3.01;95;95
05201955;3.01;95;100
05190845;3.01;95;102
05191030;3.01;95;96
05200632;3.01;95;99
05180732;3.01;95;95
05202051;3.01;95;95
05172033;3.01;95;95
05160702;3.01;95;95
05170454;3.01;95;95
05171619;3.01;95;95
05200003;3.01;95;103
05210901;3.01;95;97
05182104;3.01;95;98
05200820;3.01;95;101
05191511;3.01;95;99
05162131;3.01;95;95
05161755;3.01;95;95
05170603;3.01;95;103
05170056;3.01;95;98
05211100;3.01;95;103
05160328;3.01;95;100
05210451;3.01;95;99
05171647;3.01;95;101
05180041;3.01;95;99
05180428;3.01;95;104
05170230;3.01;95;96
05211523;3.01;95;95
05180901;3.01;95;99
05180255;3.01;95;100
05210605;3.01;95;95
05151912;3.01;95;95
05200719;3.01;95;98
05181326;3.01;95;107
05211854;3.01;95;102
05211558;3.01;95;96
05191710;3.01;95;95
05161129;3.01;95;102
05170449;3.01;95;98
05210639;3.01;95;97
05202330;3.01;95;95
05190120;3.01;95;95
05170521;3.01;95;95
05170617;3.01;95;100
05171743;3.01;95;101
05210250;3.01;95;101
05190402;3.01;95;100
05181836;3.01;95;103
05201704;3.01;95;98
05171012;3.01;95;95
05210143;3.01;95;95
05201348;3.01;95;99
05160048;3.01;95;98
05151812;3.01;95;95
05170043;3.01;95;95
05191956;3.01;95;102
05182258;3.01;95;95
05201822;3.01;95;98
05181257;3.01;95;97
05190115;3.01;95;95
05151621;3.01;95;95
05171122;3.01;95;95
05160846;3.01;95;98
05172044;3.01;95;98
05181214;3.01;95;101
05201457;3.01;95;95
05160030;3.01;95;95
05202244;3.01;95;95
05182218;3.01;95;105
05161617;3.01;95;97
05191334;3.01;95;99
05191038;3.01;95;102
05212257;3.01;95;95
05201508;3.01;95;101
05211418;3.01;95;100
05201649;3.01;95;100
05171035;3.01;95;102
05172141;3.01;95;95
05181522;3.01;95;95
05211042;3.01;95;95
05181926;3.01;95;95
05180037;3.01;95;96
05190933;3.01;95;95
05180636;3.01;95;95
05181555;3.01;95;100
05191454;3.01;95;103
05170721;3.01;95;102
05151627;3.01;95;95
05161042;3.01;95;95
05200525;3.01;95;103
05160222;3.01;95;99
05171431;3.01;95;98
05171100;3.01;95;96
05171919;3.01;95;100
05180820;3.01;95;96
05170456;3.01;95;95
05191638;3.01;95;107
05161311;3.01;95;95
05161025;3.01;95;103
05182251;3.01;95;100
05180444;3.01;95;95
05190310;3.01;95;101
05160218;3.01;95;95
05181647;3.01;95;99
05181056;3.01;95;96
05160512;3.01;95;95
05170537;3.01;95;98
05201829;3.01;95;95
05190308;3.01;95;101
05191850;3.01;95;99
05180757;3.01;95;96
05211535;3.01;95;102
05190952;3.01;95;95
05161656;3.01;95;100
05171542;3.01;95;95
05181756;3.01;95;96
05152327;3.01;95;95
05152111;3.01;95;95
05201627;3.01;95;99
05191930;3.01;95;98
05172013;3.01;95;95
05171150;3.01;95;100
05181808;3.01;95;104
05200918;3.01;95;95
05171034;3.01;95;102
05180420;3.01;95;96
05161427;3.01;95;95
05170859;3.01;95;97
05190316;3.01;95;104
05210523;3.01;95;105
05180319;3.01;95;100
05160041;3.01;95;95
05170104;3.01;95;99
05180845;3.01;95;95
05210033;3.01;95;95
05180144;3.01;95;95
05191935;3.01;95;98
05170005;3.01;95;95
05160823;3.01;95;104
05192039;3.01;95;98
05211252;3.01;95;102
05212259;3.01;95;95
05210555;3.01;95;96
05161147;3.01;95;98
05191146;3.01;95;105
05182111;3.01;95;99
05172204;3.01;95;97
05191057;3.01;95;95
05160507;3.01;95;95
05210847;3.01;95;95
05171632;3.01;95;96
05152147;3.01;95;95
05211944;3.01;95;95
05170805;3.01;95;95
05192255;3.01;95;103
05170508;3.01;95;104
05201431;3.01;95;101
05170914;3.01;95;104
05180356;3.01;95;95
05171115;3.01;95;99
05171443;3.01;95;99
05152308;3.01;95;99
05211447;3.01;95;95
05152250;3.01;95;98
05201440;3.01;95;98
05200438;3.01;95;107
05212209;3.01;95;96
05160356;3.01;95;103
05201800;3.01;95;95
05171941;3.01;95;98
05160433;3.01;95;95
05181328;3.01;95;112
05191036;3.01;95;95
05190423;3.01;95;100
05192155;3.01;95;99
05190349;3.01;95;103
05210251;3.01;95;95
05200420;3.01;95;95
05160622;3.01;95;95
05160045;3.01;95;97
05181936;3.01;95;95
05160829;3.01;95;106
05210634;3.01;95;97
05210927;3.01;95;95
05181306;3.01;95;95
05152149;3.01;95;95
05161146;3.01;95;98
05170952;3.01;95;96
05192237;3.01;95;101
05190832;3.01;95;95
05180751;3.01;95;97
05210527;3.01;95;95
05190506;3.01;95;97
05152316;3.01;95;102
05180715;3.01;95;95
05200919;3.01;95;95
05191806;3.01;95;98
05200858;3.01;95;95
05181013;3.01;95;99
05162115;3.01;95;96
05212024;3.01;95;95
05170842;3.01;95;98
05211137;3.01;95;95
05200914;3.01;95;96
05211029;3.01;95;96
05202059;3.01;95;95
05182257;3.01;95;95
05181749;3.01;95;95
05161930;3.01;95;101
05191918;3.01;95;98
05190058;3.01;95;98
05181357;3.01;95;101
05171630;3.01;95;99
05151840;3.01;95;97
05151652;3.01;95;95
05160316;3.01;95;95
05192041;3.01;95;97
05201159;3.01;95;98
05191224;3.01;95;98
05151607;3.01;95;95
05181050;3.01;95;97
05180441;3.01;95;95
05190905;3.01;95;97
05152304;3.01;95;95
05200445;3.01;95;95
05200023;3.01;95;97
05200200;3.01;95;98
05190237;3.01;95;96
05180142;3.01;95;95
05200843;3.01;95;99
05151557;3.01;95;95
05210417;3.01;95;102
05162024;3.01;95;99
05201958;3.01;95;102
05200630;3.01;95;99
05162028;3.01;95;96
05191113;3.01;95;110
05212035;3.01;95;95
05170447;3.01;95;98
05161302;3.01;95;96
05170200;3.01;95;101
05191231;3.01;95;98
05191449;3.01;95;104
05210325;3.01;95;101
05191508;3.01;95;96
05161457;3.01;95;101
05170431;3.01;95;98
05160033;3.01;95;95
05202002;3.01;95;101
05212306;3.01;95;95
05171204;3.01;95;95
05201659;3.01;95;98
05162315;3.01;95;95
05191725;3.01;95;96
05210120;3.01;95;95
05182201;3.01;95;95
05191017;3.01;95;98
05170909;3.01;95;95
05171419;3.01;95;101
05172339;3.01;95;95
05152209;3.01;95;97
05161155;3.01;95;98
05200956;3.01;95;97
05160959;3.01;95;96
05200724;3.01;95;97
05191253;3.01;95;97
05160915;3.01;95;95
05200018;3.01;95;95
05170813;3.01;95;109
05170324;3.01;95;98
05202025;3.01;95;95
05181530;3.01;95;101
05212059;3.01;95;95
05201404;3.01;95;98
05200226;3.01;95;95
05161955;3.01;95;100
05152253;3.01;95;95
05201908;3.01;95;99
05171147;3.01;95;101
05200734;3.01;95;95
05151611;3.01;95;95
05190553;3.01;95;100
05170356;3.01;95;95
05191958;3.01;95;99
05191639;3.01;95;107
05190246;3.01;95;97
05190602;3.01;95;96
05162201;3.01;95;96
05160304;3.01;95;97
05180642;3.01;95;96
05181721;3.01;95;117
05160506;3.01;95;95
05200140;3.01;95;97
05181739;3.01;95;103
05191735;3.01;95;98
05161645;3.01;95;100
05201300;3.01;95;97
05180445;3.01;95;95
05210005;3.01;95;95
05160337;3.01;95;97
05191115;3.01;95;102
05191825;3.01;95;101
05200421;3.01;95;95
05180337;3.01;95;95
05180143;3.01;95;95
05211533;3.01;95;100
05190045;3.01;95;95
05201813;3.01;95;98
05180026;3.01;95;97
05201717;3.01;95;99
05192042;3.01;95;97
05211536;3.01;95;102
05162200;3.01;95;95
05161908;3.01;95;97
05201128;3.01;95;101
05192300;3.01;95;95
05210006;3.01;95;95
05181422;3.01;95;95
05190215;3.01;95;95
05201827;3.01;95;95
05151630;3.01;95;95
05170438;3.01;95;95
05211920;3.01;95;95
05201247;3.01;95;95
05190141;3.01;95;95
05191838;3.01;95;104
05211500;3.01;95;98
05181100;3.01;95;104
05211411;3.01;95;95
05180758;3.01;95;96
05191753;3.01;95;98
05180534;3.01;95;95
05180923;3.01;95;99
05162334;3.01;95;95
05171852;3.01;95;95
05170145;3.01;95;95
05201753;3.01;95;95
05172351;3.01;95;97
05200717;3.01;95;98
05212026;3.01;95;95
05161750;3.01;95;95
05201343;3.01;95;98
05161316;3.01;95;95
05182142;3.01;95;116
05200459;3.01;95;96
05180214;3.01;95;95
05190437;3.01;95;95
05181745;3.01;95;95
05161235;3.01;95;95
05210957;3.01;95;98
05192320;3.01;95;99
05152357;3.01;95;161
05201915;3.01;95;95
05171902;3.01;95;95
05190257;3.01;95;102
05190639;3.01;95;95
05151925;3.01;95;95
05162352;3.01;95;101
05171312;3.01;95;96
05171316;3.01;95;96
05200506;3.01;95;102
05212116;3.01;95;95
05211606;3.01;95;95
05181742;3.01;95;96
05181503;3.01;95;99
05190054;3.01;95;95
05171851;3.01;95;95
05181249;3.01;95;95
05160947;3.01;95;98
05180440;3.01;95;95
05181001;3.01;95;101
05212256;3.01;95;95
05200657;3.01;95;100
05160402;3.01;95;97
05210144;3.01;95;95
05211937;3.01;95;96
05171215;3.01;95;102
05160103;3.01;95;96
05170501;3.01;95;98
05161911;3.01;95;99
05200211;3.01;95;98
05180717;3.01;95;95
05191634;3.01;95;99
05181848;3.01;95;99
05182302;3.01;95;100
05210758;3.01;95;95
05200905;3.01;95;104
05170210;3.01;95;98
05201840;3.01;95;98
05211839;3.01;95;95
05180127;3.01;95;103
05160320;3.01;95;95
05190434;3.01;95;97
05210502;3.01;95;98
05210750;3.01;95;95
05202154;3.01;95;97
05182220;3.01;95;105
05190550;3.01;95;97
05170844;3.01;95;98
05211222;3.01;95;99
05161454;3.01;95;99
05202124;3.01;95;98
05201810;3.01;95;95
05200544;3.01;95;95
05200713;3.01;95;98
05160123;3.01;95;95
05170458;3.01;95;95
05160043;3.01;95;97
05211918;3.01;95;95
05170239;3.01;95;98
05190643;3.01;95;106
05200804;3.01;95;95
05160717;3.01;95;95
05171323;3.01;95;96
05162134;3.01;95;99
05211010;3.01;95;97
05192130;3.01;95;99
05202137;3.01;95;97
05170544;3.01;95;98
05170635;3.01;95;95
05210343;3.01;95;96
05160923;3.01;95;100
05171021;3.01;95;100
05180451;3.01;95;101
05211111;3.01;95;102
05170822;3.01;95;99
05151728;3.01;95;95
05181242;3.01;95;95
05211221;3.01;95;99
05191715;3.01;95;102
05190539;3.01;95;95
05160730;3.01;95;95
05182014;3.01;95;100
05171332;3.01;95;100
05201803;3.01;95;98
05180407;3.01;95;95
05172134;3.01;95;95
05201723;3.01;95;98
05180102;3.01;95;103
05210746;3.01;95;95
05191239;3.01;95;97
05201124;3.01;95;103
05170935;3.01;95;95
05180227;3.01;95;98
05180823;3.01;95;96
05180309;3.01;95;97
05190406;3.01;95;109
05181925;3.01;95;95
05211401;3.01;95;96
05210619;3.01;95;99
05201624;3.01;95;101
05211212;3.01;95;101
05202222;3.01;95;100
05200158;3.01;95;98
05180212;3.01;95;101
05160155;3.01;95;95
05172000;3.01;95;95
05152333;3.01;95;103
05160234;3.01;95;98
05190510;3.01;95;97
05152010;3.01;95;95
05211720;3.01;95;95
05191557;3.01;95;100
05190220;3.01;95;98
05181656;3.01;95;99
05200911;3.01;95;98
05180734;3.01;95;95
05170110;3.01;95;97
05191955;3.01;95;102
05181443;3.01;95;98
05210717;3.01;95;99
05170629;3.01;95;96
05180125;3.01;95;105
05210814;3.01;95;95
05190027;3.01;95;95
05210603;3.01;95;95
05190524;3.01;95;95
05201320;3.01;95;95
05160455;3.01;95;95
05161847;3.01;95;98
05161415;3.01;95;103
05210347;3.01;95;100
05200934;3.01;95;97
05161853;3.01;95;95
05190858;3.01;95;96
05200931;3.01;95;95
05151941;3.01;95;95
05201643;3.01;95;100
05190713;3.01;95;97
05181302;3.01;95;97
05161834;3.01;95;98
05162106;3.01;95;95
05151737;3.01;95;99
05210400;3.01;95;97
05190248;3.01;95;97
05191823;3.01;95;98
05191654;3.01;95;98
05190131;3.01;95;95
05162005;3.01;95;100
05181136;3.01;95;98
05211739;3.01;95;95
05200249;3.01;95;95
05210952;3.01;95;98
05202031;3.01;95;95
05202342;3.01;95;95
05211121;3.01;95;98
05182015;3.01;95;100
05200028;3.01;95;98
05170152;3.01;95;98
05210609;3.01;95;99
05160343;3.01;95;98
05200831;3.01;95;103
05181044;3.01;95;96
05200935;3.01;95;99
05210148;3.01;95;95
05161642;3.01;95;98
05181018;3.01;95;95
05210436;3.01;95;95
05180505;3.01;95;97
05151924;3.01;95;95
05211703;3.01;95;95
05171241;3.01;95;99
05190143;3.01;95;95
05191332;3.01;95;99
05181601;3.01;95;101
05201818;3.01;95;98
